date,market,channel,campaign,currency,spend,impressions,clicks,conversions,attributed_revenue
04-08-2025,UAE,PaidSearch,Always-On Brand,AED,265859.99,1835277.0,110676.0,1328.0,3303586.98
04-08-2025,UAE,Meta,Always-On Brand,AED,297458.3,8909950.0,95668.0,553.0,1522455.7
04-08-2025,UAE,tiktok,Always-On Brand,AED,191385.75,8387836.0,106078.0,438.0,1136789.62
04-08-2025,UAE,YouTube,Always-On Brand,AED,213257.59,5390785.0,41425.0,131.0,344175.36
04-08-2025,UAE,Programmatic Display,Always-On Brand,AED,158362.19,12004824.0,11572.0,16.0,39908.37
04-08-2025,UAE,TV,Always-On Brand,AED,322328.71,6818266.0,0.0,0.0,0.0
04-08-2025,UAE,OOH,Always-On Brand,AED,77815.24,3723901.0,0.0,0.0,0.0
04-08-2025,KSA,paid_search,Always-On Brand,SAR,389909.64,2519290.0,176149.0,2544.0,7016148.67
04-08-2025,KSA,meta,Always-On Brand,SAR,431080.14,14848432.0,186832.0,1142.0,3176736.04
04-08-2025,KSA,Tik Tok,Always-On Brand,SAR,236627.3,11063616.0,144092.0,591.0,1635151.06
04-08-2025,KSA,YT,Always-On Brand,SAR,328925.93,8137351.0,53881.0,152.0,399785.66
04-08-2025,KSA,Programmatic Display,Always-On Brand,SAR,200823.77,14828302.0,12783.0,26.0,75793.76
04-08-2025,KSA,tv,Always-On Brand,SAR,409603.96,8054159.0,0.0,0.0,0.0
04-08-2025,KSA,ooh,Always-On Brand,SAR,105596.61,4602172.0,0.0,0.0,0.0
04-08-2025,Egypt,Paid Search,Always-On Brand,EGP,1545322.46,728578.0,44898.0,617.0,6707435.57
04-08-2025,Egypt,Meta,Always-On Brand,EGP,1691841.08,3950103.0,47403.0,307.0,3234229.62
04-08-2025,Egypt,tiktok,Always-On Brand,EGP,1062718.57,3652860.0,50994.0,247.0,2559905.05
04-08-2025,Egypt,YT,Always-On Brand,EGP,1265430.77,2194792.0,14268.0,51.0,538506.65
04-08-2025,Egypt,Programmatic Display,Always-On Brand,EGP,884869.25,5157576.0,5546.0,10.0,103269.88
04-08-2025,Egypt,Television,Always-On Brand,EGP,1837498.19,2552180.0,0.0,0.0,0.0
04-08-2025,Egypt,ooh,Always-On Brand,EGP,425396.61,1757747.0,0.0,0.0,0.0
11-08-2025,UAE,PaidSearch,Always-On Brand,AED,281986.58,1800578.0,120687.0,1401.0,3660007.29
11-08-2025,UAE,Facebook/Instagram,Always-On Brand,AED,305891.85,8925116.0,106667.0,717.0,1934426.21
11-08-2025,UAE,TikTok,Always-On Brand,AED,190745.22,8817397.0,135723.0,492.0,1262720.51
11-08-2025,UAE,youtube,Always-On Brand,AED,229447.78,5480904.0,42353.0,147.0,396937.06
11-08-2025,UAE  ,Programmatic,Always-On Brand,AED,168080.54,14026394.0,13419.0,23.0,61242.68
11-08-2025,UAE,TV,Always-On Brand,AED,303043.72,6099839.0,0.0,0.0,0.0
11-08-2025,UAE,OOH,Always-On Brand,AED,74989.4,3725736.0,0.0,0.0,0.0
11-08-2025,KSA,PaidSearch,Always-On Brand,SAR,384669.44,2489497.0,147238.0,2344.0,6325588.28
11-08-2025,KSA,meta,Always-On Brand,SAR,409197.87,12584073.0,152747.0,1004.0,2870068.3
11-08-2025,KSA,Tik Tok,Always-On Brand,SAR,240100.42,10505810.0,154360.0,592.0,1735406.91
11-08-2025,KSA,youtube,Always-On Brand,SAR,323298.33,7148723.0,61082.0,151.0,407797.62
11-08-2025,KSA,Programmatic,Always-On Brand,SAR,228341.25,19491457.0,18392.0,32.0,90136.72
11-08-2025,KSA,TV,Always-On Brand,SAR,436194.93,8286470.0,0.0,0.0,0.0
11-08-2025,KSA,Out of Home,Always-On Brand,SAR,94160.72,5080677.0,0.0,0.0,0.0
11-08-2025,Egypt,Paid Search,Always-On Brand,EGP,1580795.77,840255.0,50779.0,595.0,6535228.75
11-08-2025,Egypt,Facebook/Instagram,Always-On Brand,EGP,1711052.59,4166164.0,48483.0,329.0,3465654.07
11-08-2025,Egypt,tiktok,Always-On Brand,EGP,1087367.53,3564922.0,40191.0,179.0,1986826.52
11-08-2025,Egypt,youtube,Always-On Brand,EGP,1293620.38,2380778.0,18332.0,52.0,556303.47
11-08-2025,Egypt,Display,Always-On Brand,EGP,895413.36,5351123.0,5072.0,10.0,98992.01
11-08-2025,Egypt,Television,Always-On Brand,EGP,1845722.95,2559330.0,0.0,0.0,0.0
11-08-2025,Egypt,ooh,Always-On Brand,EGP,433018.26,1669775.0,0.0,0.0,0.0
18-08-2025,UAE,PaidSearch,Always-On Brand,AED,316153.1,2179955.0,127761.0,1603.0,4345264.58
18-08-2025,UAE,meta,Always-On Brand,AED,316696.43,10473022.0,96552.0,619.0,1555775.11
18-08-2025,UAE,TikTok,Always-On Brand,AED,195502.14,7928984.0,112947.0,338.0,924781.79
18-08-2025,UAE,youtube,Always-On Brand,AED,233415.13,5653789.0,38268.0,114.0,280523.85
18-08-2025,UAE,Display,Always-On Brand,AED,157506.62,12480724.0,11235.0,16.0,40015.87
18-08-2025,UAE,tv,Always-On Brand,AED,323770.25,6318165.0,0.0,0.0,0.0
