date,market,brand,mentions,share_of_voice_pct,pr_sentiment
2025-08-04,UAE,Samsung,823,34.19%,0.335
2025-08-04,UAE,Rival A,642,26.7%,0.393
2025-08-04,UAE,Rival B,503,20.92%,0.381
2025-08-04,UAE,Rival C,437,18.19%,0.366
2025-08-11,UAE,Samsung,827,35.5%,0.416
2025-08-11,UAE,Rival A,623,26.77%,0.489
2025-08-11,UAE,Rival B,503,21.59%,0.408
2025-08-11,UAE,Rival C,376,16.14%,0.359
2025-08-18,UAE,Samsung,800,34.17%,0.399
2025-08-18,UAE,Rival A,607,25.94%,0.461
2025-08-18,UAE,Rival B,506,21.62%,0.435
2025-08-18,UAE,Rival C,427,18.26%,0.359
2025-08-25,UAE,Samsung,761,33.36%,0.349
2025-08-25,UAE,Rival A,598,26.2%,0.256
2025-08-25,UAE,Rival B,524,22.99%,0.259
2025-08-25,UAE,Rival C,398,17.45%,0.326
2025-09-01,UAE,Samsung,909,34.12%,0.386
2025-09-01,UAE,Rival A,727,27.29%,0.438
2025-09-01,UAE,Rival B,588,22.08%,0.314
2025-09-01,UAE,Rival C,440,16.51%,0.331
2025-09-08,UAE,Samsung,782,34.76%,0.324
2025-09-08,UAE,Rival A,607,27.0%,0.377
2025-09-08,UAE,Rival B,472,20.98%,0.344
2025-09-08,UAE,Rival C,388,17.25%,0.276
2025-09-15,UAE,Samsung,866,35.09%,0.388
2025-09-15,UAE,Rival A,677,27.45%,0.368
2025-09-15,UAE,Rival B,531,21.51%,0.375
2025-09-15,UAE,Rival C,393,15.95%,0.393
2025-09-22,UAE,Samsung,1023,34.06%,0.38
2025-09-22,UAE,Rival A,795,26.46%,0.346
2025-09-22,UAE,Rival B,643,21.41%,0.416
2025-09-22,UAE,Rival C,542,18.07%,0.225
2025-09-29,UAE,Samsung,698,34.12%,0.345
2025-09-29,UAE,Rival A,548,26.79%,0.345
2025-09-29,UAE,Rival B,445,21.76%,0.456
2025-09-29,UAE,Rival C,354,17.33%,0.395
2025-10-06,UAE,Samsung,759,34.14%,0.349
2025-10-06,UAE,Rival A,593,26.71%,0.443
2025-10-06,UAE,Rival B,483,21.75%,0.385
2025-10-06,UAE,Rival C,386,17.4%,0.374
2025-10-13,UAE,Samsung,800,33.8%,0.37
2025-10-13,UAE,Rival A,640,27.05%,0.343
2025-10-13,UAE,Rival B,480,20.28%,0.356
2025-10-13,UAE,Rival C,447,18.87%,0.372
2025-10-20,UAE,Samsung,880,34.72%,0.41
2025-10-20,UAE,Rival A,656,25.89%,0.357
2025-10-20,UAE,Rival B,574,22.66%,0.311
2025-10-20,UAE,Rival C,424,16.74%,0.362
2025-10-27,UAE,Samsung,824,34.71%,0.448
2025-10-27,UAE,Rival A,662,27.91%,0.344
2025-10-27,UAE,Rival B,517,21.79%,0.372
2025-10-27,UAE,Rival C,370,15.59%,0.412
2025-11-03,UAE,Samsung,684,33.3%,0.39
2025-11-03,UAE,Rival A,550,26.81%,0.321
2025-11-03,UAE,Rival B,473,23.02%,0.328
2025-11-03,UAE,Rival C,346,16.87%,0.25
2025-11-10,UAE,Samsung,864,34.41%,0.423
2025-11-10,UAE,Rival A,684,27.23%,0.476
2025-11-10,UAE,Rival B,527,20.99%,0.419
2025-11-10,UAE,Rival C,436,17.37%,0.425
2025-11-17,UAE,Samsung,754,33.97%,0.472
2025-11-17,UAE,Rival A,608,27.39%,0.292
2025-11-17,UAE,Rival B,482,21.73%,0.321
2025-11-17,UAE,Rival C,375,16.91%,0.385
2025-11-24,UAE,Samsung,786,35.17%,0.334
2025-11-24,UAE,Rival A,599,26.84%,0.367
2025-11-24,UAE,Rival B,457,20.45%,0.526
2025-11-24,UAE,Rival C,392,17.54%,0.37
2025-12-01,UAE,Samsung,909,34.98%,0.434
2025-12-01,UAE,Rival A,676,26.03%,0.401
2025-12-01,UAE,Rival B,567,21.83%,0.46
2025-12-01,UAE,Rival C,446,17.16%,0.491
2025-12-08,UAE,Samsung,877,33.66%,0.452
2025-12-08,UAE,Rival A,703,27.01%,0.347
2025-12-08,UAE,Rival B,597,22.94%,0.365
2025-12-08,UAE,Rival C,426,16.39%,0.503
2025-12-15,UAE,Samsung,934,34.94%,0.416
2025-12-15,UAE,Rival A,734,27.45%,0.377
2025-12-15,UAE,Rival B,570,21.34%,0.351
2025-12-15,UAE,Rival C,435,16.27%,0.354
2025-12-22,UAE,Samsung,874,34.49%,0.261
2025-12-22,UAE,Rival A,669,26.41%,0.393
2025-12-22,UAE,Rival B,545,21.53%,0.369
2025-12-22,UAE,Rival C,445,17.57%,0.435
2025-12-29,UAE,Samsung,843,34.14%,0.395
2025-12-29,UAE,Rival A,653,26.47%,0.29
2025-12-29,UAE,Rival B,546,22.12%,0.416
2025-12-29,UAE,Rival C,426,17.27%,0.328
2026-01-05,UAE,Samsung,826,35.19%,0.298
2026-01-05,UAE,Rival A,618,26.32%,0.25
2026-01-05,UAE,Rival B,500,21.29%,0.362
2026-01-05,UAE,Rival C,404,17.2%,0.504
2026-01-12,UAE,Samsung,784,35.25%,0.354
2026-01-12,UAE,Rival A,587,26.39%,0.29
2026-01-12,UAE,Rival B,486,21.87%,0.325
2026-01-12,UAE,Rival C,366,16.48%,0.345
2026-01-19,UAE,Samsung,1162,34.69%,0.269
2026-01-19,UAE,Rival A,891,26.59%,0.358
2026-01-19,UAE,Rival B,676,20.18%,0.415
2026-01-19,UAE,Rival C,621,18.53%,0.41
2026-01-26,UAE,Samsung,1096,34.38%,0.233
2026-01-26,UAE,Rival A,848,26.6%,0.389
2026-01-26,UAE,Rival B,687,21.55%,0.246
2026-01-26,UAE,Rival C,557,17.47%,0.281
2026-02-02,UAE,Samsung,1165,34.48%,0.373
2026-02-02,UAE,Rival A,929,27.5%,0.474
2026-02-02,UAE,Rival B,750,22.19%,0.441
2026-02-02,UAE,Rival C,535,15.83%,0.406
2026-02-09,UAE,Samsung,1234,35.76%,0.322
2026-02-09,UAE,Rival A,898,26.03%,0.315
2026-02-09,UAE,Rival B,739,21.41%,0.433
2026-02-09,UAE,Rival C,580,16.8%,0.295
2026-02-16,UAE,Samsung,1011,34.96%,0.414
2026-02-16,UAE,Rival A,731,25.29%,0.343
2026-02-16,UAE,Rival B,630,21.8%,0.383
2026-02-16,UAE,Rival C,519,17.95%,0.434
2026-02-23,UAE,Samsung,1183,34.17%,0.362
2026-02-23,UAE,Rival A,905,26.15%,0.392
2026-02-23,UAE,Rival B,772,22.31%,0.434
2026-02-23,UAE,Rival C,601,17.36%,0.318
2026-03-02,UAE,Samsung,1970,34.29%,-0.082
2026-03-02,UAE,Rival A,1466,25.52%,0.327
2026-03-02,UAE,Rival B,1222,21.28%,0.336
2026-03-02,UAE,Rival C,1086,18.91%,0.37
2026-03-09,UAE,Samsung,833,34.44%,-0.095
2026-03-09,UAE,Rival A,639,26.41%,0.4
2026-03-09,UAE,Rival B,542,22.44%,0.32
2026-03-09,UAE,Rival C,404,16.71%,0.328
2026-03-16,UAE,Samsung,928,36.42%,-0.033
2026-03-16,UAE,Rival A,632,24.79%,0.393
2026-03-16,UAE,Rival B,560,22.0%,0.323
2026-03-16,UAE,Rival C,428,16.79%,0.388
2026-03-23,UAE,Samsung,880,35.13%,0.058
2026-03-23,UAE,Rival A,661,26.42%,0.332
2026-03-23,UAE,Rival B,553,22.11%,0.396
2026-03-23,UAE,Rival C,409,16.35%,0.382
2026-03-30,UAE,Samsung,928,34.35%,0.454
2026-03-30,UAE,Rival A,736,27.24%,0.298
2026-03-30,UAE,Rival B,567,20.97%,0.376
2026-03-30,UAE,Rival C,471,17.44%,0.368
2026-04-06,UAE,Samsung,808,34.79%,0.383
2026-04-06,UAE,Rival A,601,25.86%,0.387
2026-04-06,UAE,Rival B,495,21.33%,0.351
2026-04-06,UAE,Rival C,418,18.02%,0.435
2026-04-13,UAE,Samsung,942,34.18%,0.39
2026-04-13,UAE,Rival A,735,26.67%,0.313
2026-04-13,UAE,Rival B,575,20.85%,0.362
2026-04-13,UAE,Rival C,504,18.29%,0.446
2026-04-20,UAE,Samsung,905,33.72%,0.465
2026-04-20,UAE,Rival A,754,28.07%,0.404
2026-04-20,UAE,Rival B,552,20.55%,0.259
2026-04-20,UAE,Rival C,474,17.66%,0.417
2026-04-27,UAE,Samsung,755,34.54%,0.471
2026-04-27,UAE,Rival A,589,26.96%,0.319
2026-04-27,UAE,Rival B,458,20.98%,0.409
2026-04-27,UAE,Rival C,383,17.53%,0.368
2026-05-04,UAE,Samsung,773,33.1%,0.395
2026-05-04,UAE,Rival A,649,27.81%,0.359
2026-05-04,UAE,Rival B,503,21.53%,0.481
2026-05-04,UAE,Rival C,410,17.56%,0.422
2026-05-11,UAE,Samsung,702,32.5%,0.295
2026-05-11,UAE,Rival A,599,27.74%,0.422
2026-05-11,UAE,Rival B,469,21.73%,0.325
2026-05-11,UAE,Rival C,389,18.03%,0.395
2026-05-18,UAE,Samsung,778,33.39%,0.26
2026-05-18,UAE,Rival A,680,29.2%,0.288
2026-05-18,UAE,Rival B,492,21.12%,0.32
2026-05-18,UAE,Rival C,380,16.3%,0.425
2026-05-25,UAE,Samsung,606,32.58%,0.409
2026-05-25,UAE,Rival A,532,28.6%,0.529
2026-05-25,UAE,Rival B,414,22.3%,0.342
2026-05-25,UAE,Rival C,307,16.51%,0.438
2026-06-01,UAE,Samsung,863,30.81%,0.416
2026-06-01,UAE,Rival A,848,30.29%,0.288
2026-06-01,UAE,Rival B,595,21.26%,0.416
2026-06-01,UAE,Rival C,494,17.64%,0.479
2026-06-08,UAE,Samsung,663,29.24%,0.446
2026-06-08,UAE,Rival A,706,31.14%,0.46
2026-06-08,UAE,Rival B,519,22.91%,0.414
2026-06-08,UAE,Rival C,379,16.71%,0.428
2026-06-15,UAE,Samsung,736,29.85%,0.422
2026-06-15,UAE,Rival A,750,30.44%,0.309
2026-06-15,UAE,Rival B,537,21.77%,0.37
2026-06-15,UAE,Rival C,442,17.94%,0.375
2026-06-22,UAE,Samsung,773,28.2%,0.356
2026-06-22,UAE,Rival A,886,32.3%,0.335
2026-06-22,UAE,Rival B,600,21.89%,0.339
2026-06-22,UAE,Rival C,483,17.62%,0.468
2026-06-29,UAE,Samsung,749,30.29%,0.464
2026-06-29,UAE,Rival A,798,32.28%,0.301
2026-06-29,UAE,Rival B,512,20.73%,0.366
2026-06-29,UAE,Rival C,413,16.71%,0.339
2026-07-06,UAE,Samsung,706,28.1%,0.299
2026-07-06,UAE,Rival A,852,33.93%,0.327
2026-07-06,UAE,Rival B,555,22.09%,0.364
2026-07-06,UAE,Rival C,399,15.88%,0.405
2026-07-13,UAE,Samsung,639,26.38%,0.442
2026-07-13,UAE,Rival A,832,34.34%,0.428
2026-07-13,UAE,Rival B,523,21.59%,0.502
2026-07-13,UAE,Rival C,428,17.7%,0.503
2026-07-20,UAE,Samsung,699,28.19%,0.344
2026-07-20,UAE,Rival A,891,35.97%,0.401
2026-07-20,UAE,Rival B,488,19.71%,0.317
2026-07-20,UAE,Rival C,399,16.13%,0.365
2026-07-27,UAE,Samsung,619,26.13%,0.415
2026-07-27,UAE,Rival A,822,34.65%,0.341
2026-07-27,UAE,Rival B,514,21.71%,0.366
2026-07-27,UAE,Rival C,415,17.51%,0.385
