date,market,category,units_sold,asp_local,revenue_local,currency
2025-08-04,UAE,Smartphones,8179,2434.37,19911878.86,AED
2025-08-11,UAE,Smartphones,9708,2425.04,23543262.99,AED
2025-08-18,UAE,Smartphones,10001,2488.36,24888304.11,AED
2025-08-25,UAE,Smartphones,10641,2439.3,25957039.52,AED
2025-09-01,UAE,Smartphones,11216,2460.38,27597398.26,AED
2025-09-08,UAE,Smartphones,10054,2414.28,24273244.49,AED
2025-09-15,UAE,Smartphones,10478,2474.22,25926209.36,AED
2025-09-22,UAE,Smartphones,9839,2387.83,23495546.4,AED
2025-09-29,UAE,Smartphones,9656,2426.03,23426946.73,AED
2025-10-06,UAE,Smartphones,9632,2434.23,23447255.96,AED
2025-10-13,UAE,Smartphones,10023,2450.84,24566861.16,AED
2025-10-20,UAE,Smartphones,9757,2413.31,23547017.03,AED
2025-10-27,UAE,Smartphones,10526,2451.55,25806663.57,AED
2025-11-03,UAE,Smartphones,9827,2460.09,24176494.43,AED
2025-11-10,UAE,Smartphones,9422,2471.67,23289256.26,AED
2025-11-17,UAE,Smartphones,18441,2473.9,45622930.86,AED
2025-11-24,UAE,Smartphones,26895,2452.16,65952103.26,AED
2025-12-01,UAE,Smartphones,17380,2437.94,42372201.55,AED
2025-12-08,UAE,Smartphones,9537,2423.11,23109512.31,AED
2025-12-15,UAE,Smartphones,14259,2476.08,35308430.43,AED
2025-12-22,UAE,Smartphones,13857,2494.38,34565836.62,AED
2025-12-29,UAE,Smartphones,14478,2461.68,35641142.04,AED
2026-01-05,UAE,Smartphones,9297,2497.56,23222197.05,AED
2026-01-12,UAE,Smartphones,9216,2423.97,22340807.54,AED
2026-01-19,UAE,Smartphones,8917,2471.49,22040242.74,AED
2026-01-26,UAE,Smartphones,9224,2429.84,22413385.5,AED
2026-02-02,UAE,Smartphones,8219,2463.42,20248774.9,AED
2026-02-09,UAE,Smartphones,8420,2482.26,20901414.96,AED
2026-02-16,UAE,Smartphones,8098,2479.84,20082890.75,AED
2026-02-23,UAE,Smartphones,10831,2450.77,26546161.3,AED
2026-03-02,UAE,Smartphones,17066,2438.56,41618408.04,AED
2026-03-09,UAE,Smartphones,11228,2456.42,27582582.59,AED
2026-03-16,UAE,Smartphones,11547,2451.05,28304650.06,AED
