date,market,platform,followers,posts,impressions,reach,engagements,video_views,sentiment_score
2025-08-04,UAE,Instagram,381952,10,452637,221181,10732,145519.0,0.403
2025-08-04,UAE,TikTok,335746,10,361618,153964,9427,133983.0,0.342
2025-08-04,UAE,YT,221588,6,279329,121087,3437,142480.0,0.427
2025-08-04,UAE,Twitter,122440,6,130644,73235,1250,50396.0,0.406
2025-08-04,UAE,FB,173108,11,191654,95293,2139,73005.0,0.429
2025-08-11,UAE,IG,384263,8,435386,193431,8444,168735.0,0.423
2025-08-11,UAE,tiktok,332645,6,270191,154148,9609,101888.0,0.45
2025-08-11,UAE,youtube,222479,4,223388,127993,3736,105956.0,0.418
2025-08-11,UAE,X,124233,11,91240,52824,895,36221.0,0.335
2025-08-11,UAE,Facebook,173720,8,234858,98753,2157,109835.0,0.412
2025-08-18,UAE,IG,387749,7,412863,214090,8460,200400.0,0.461
2025-08-18,UAE,Tik Tok,334797,6,339302,156971,9891,134821.0,0.483
2025-08-18,UAE,youtube,223412,9,181810,110274,3536,69955.0,0.363
2025-08-18,UAE,X (Twitter),122849,10,146843,63970,1073,74778.0,0.388
2025-08-18,UAE,facebook,174662,9,164372,87814,2052,69456.0,0.377
2025-08-25,UAE,IG,388279,7,428218,201109,7734,149214.0,0.385
2025-08-25,UAE,Tik Tok,339807,11,321012,135353,7613,154253.0,0.405
2025-08-25,UAE,YouTube,225761,7,173315,98385,2911,59540.0,0.376
2025-08-25,UAE,Twitter,125452,11,126564,53451,911,39476.0,0.387
2025-08-25,UAE,Facebook,174489,6,146272,82632,1757,46292.0,0.399
2025-09-01,UAE,instagram,387584,8,585099,264711,11808,,0.416
2025-09-01,UAE,tiktok,339726,7,392181,195413,14369,122335.0,0.298
2025-09-01,UAE,YT,226841,5,246598,128631,3807,112760.0,0.414
2025-09-01,UAE,X,125941,4,165529,81062,1264,48744.0,0.458
2025-09-01,UAE,Facebook,176070,6,258823,114524,2618,122560.0,0.423
2025-09-08,UAE,IG,389054,10,336874,181949,7672,133273.0,0.367
2025-09-08,UAE,tiktok,339579,6,373707,166424,10615,185267.0,0.364
2025-09-08,UAE,YouTube,226427,6,224105,122533,3520,96168.0,0.443
2025-09-08,UAE,X,126065,6,140299,78487,1538,40292.0,0.401
2025-09-08,UAE,FB,176424,9,197427,110172,2170,93797.0,0.402
2025-09-15,UAE,IG,392012,5,456440,198989,8923,168964.0,0.444
2025-09-15,UAE,TikTok,343902,5,342872,179192,12518,165096.0,0.445
2025-09-15,UAE,YouTube,227904,4,238137,103765,2877,119751.0,0.431
2025-09-15,UAE,Twitter,126727,6,136116,72659,1048,66066.0,0.41
2025-09-15,UAE,Facebook,177954,9,161554,97699,1996,51638.0,0.356
2025-09-22,UAE,instagram,394020,4,453996,199590,7409,187548.0,0.445
2025-09-22,UAE,Tik Tok,344251,10,428345,188047,14053,163268.0,0.452
2025-09-22,UAE,youtube,226753,8,257787,124258,3453,102457.0,0.418
2025-09-22,UAE,Twitter,126995,8,118191,66437,1111,38983.0,0.458
2025-09-22,UAE,Facebook,177143,5,153776,91857,1880,72220.0,0.402
2025-09-29,UAE,Instagram,393549,10,376468,158252,6593,149044.0,0.385
2025-09-29,UAE,Tik Tok,344361,6,344005,183352,13558,125847.0,0.429
2025-09-29,UAE,YT,229278,8,232485,113713,2999,108366.0,0.433
2025-09-29,UAE,X,127330,6,137181,75107,1277,40879.0,0.38
2025-09-29,UAE,Facebook,178645,10,170422,101622,2334,79146.0,0.41
2025-10-06,UAE,IG,397594,6,370769,169981,6104,129503.0,0.367
2025-10-06,UAE,Tik Tok,347152,11,322803,140989,9824,153125.0,0.379
2025-10-06,UAE,YT,231303,8,176485,103028,2678,81592.0,0.461
2025-10-06,UAE,X (Twitter),128881,6,108907,57678,854,35725.0,0.448
2025-10-06,UAE,FB,180826,9,124489,68156,1598,60795.0,0.378
2025-10-13,UAE,instagram,401826,8,491294,248464,10287,243595.0,0.381
2025-10-13,UAE,tiktok,345998,4,383976,177842,13030,118364.0,0.444
2025-10-13,UAE,YT,232354,8,203753,121842,3655,79202.0,0.421
2025-10-13,UAE,Twitter,128804,10,131149,65897,1140,66552.0,0.436
2025-10-13,UAE,Facebook,180161,4,234837,99679,2251,92522.0,0.513
2025-10-20,UAE,instagram,402118,11,312616,178306,7526,90313.0,0.332
2025-10-20,UAE,Tik Tok,350761,5,336753,146928,9202,126069.0,0.458
2025-10-20,UAE,YouTube,233609,7,230540,127354,4195,87095.0,0.384
2025-10-20,UAE,X,128931,5,84248,49512,969,41263.0,0.427
2025-10-20,UAE,FB,180649,7,141560,71521,1742,59520.0,0.468
2025-10-27,UAE,Instagram,401814,9,513484,237005,8520,231521.0,0.46
2025-10-27,UAE,TikTok,352327,9,463015,214057,12878,178708.0,0.393
2025-10-27,UAE,YouTube,235579,4,214005,121580,3582,62762.0,0.472
2025-10-27,UAE,X (Twitter),129498,9,160647,67817,1185,53385.0,0.436
2025-10-27,UAE,facebook,182595,9,166475,89072,2005,65385.0,0.381
2025-11-03,UAE,IG,408666,4,571914,239420,9846,240473.0,0.432
2025-11-03,UAE,tiktok,352546,11,361407,182010,12433,163539.0,0.434
2025-11-03,UAE,YouTube,234847,5,195574,101626,3410,93693.0,0.451
2025-11-03,UAE,Twitter,130833,6,112711,65044,1140,48202.0,0.414
2025-11-03,UAE,facebook,182854,7,265066,113864,2494,122907.0,0.408
2025-11-10,UAE,IG,405048,6,582285,245873,11419,267714.0,0.396
2025-11-10,UAE,TikTok,354640,6,309074,163936,11588,88039.0,0.467
2025-11-10,UAE,youtube,234641,10,204614,103379,2786,61377.0,0.412
2025-11-10,UAE,X (Twitter),131853,4,129830,76628,1284,54266.0,0.404
2025-11-10,UAE,Facebook,183449,5,206955,95387,2011,95335.0,0.412
2025-11-17,UAE,instagram,405753,11,737203,331758,12260,231713.0,0.403
2025-11-17,UAE,Tik Tok,358738,6,497243,258306,17732,171673.0,0.412
2025-11-17,UAE,YouTube,235695,7,432996,192862,5604,197547.0,0.484
2025-11-17,UAE,Twitter,131318,11,240721,105780,1659,93982.0,0.41
2025-11-17,UAE,FB,184918,11,201669,122904,2669,63272.0,0.377
2025-11-24,UAE,Instagram,411044,10,845998,411156,17184,298374.0,0.423
2025-11-24,UAE,Tik Tok,358031,6,844444,357749,26255,240347.0,0.443
2025-11-24,UAE,YT,237984,9,341029,180425,5327,175886.0,0.406
2025-11-24,UAE,Twitter,132232,6,209649,116332,1990,92954.0,0.425
2025-11-24,UAE,facebook,185639,7,392510,165179,3706,150938.0,0.39
2025-12-01,UAE,instagram,410668,4,502520,230297,10116,211856.0,0.428
2025-12-01,UAE,TikTok,358655,7,395556,220614,15698,147351.0,0.495
2025-12-01,UAE,YouTube,239131,9,288369,159789,4558,137023.0,0.443
2025-12-01,UAE,X (Twitter),132936,11,225693,103113,1855,103857.0,0.455
2025-12-01,UAE,facebook,185209,9,312290,141139,2670,91839.0,0.431
2025-12-08,UAE,instagram,414196,10,350449,198687,8385,131324.0,0.437
2025-12-08,UAE,Tik Tok,361073,4,433130,186449,13472,199170.0,0.457
2025-12-08,UAE,youtube,240824,11,201444,111092,3615,69670.0,0.409
2025-12-08,UAE,X (Twitter),132776,7,111008,65345,1095,56690.0,0.425
2025-12-08,UAE,Facebook,186075,4,207983,102396,2289,105122.0,0.485
2025-12-15,UAE,Instagram,415938,11,603456,275816,9988,231845.0,0.447
2025-12-15,UAE,tiktok,364739,5,649860,271619,15973,267347.0,0.441
2025-12-15,UAE,youtube,240602,4,263871,147005,4412,74276.0,0.353
2025-12-15,UAE,X,133914,11,137978,74959,1220,47135.0,0.426
2025-12-15,UAE,Facebook,187898,7,245657,123803,2804,71510.0,0.462
2025-12-22,UAE,IG,418931,4,479261,244356,11636,242337.0,0.405
2025-12-22,UAE,TikTok,363109,11,439309,211776,13140,152922.0,0.42
2025-12-22,UAE,YT,241618,4,355262,187561,5349,144599.0,0.422
2025-12-22,UAE,Twitter,134447,4,192496,89346,1585,65683.0,0.451
2025-12-22,UAE,FB,187838,9,248285,114166,2473,,0.392
2025-12-29,UAE,instagram,417362,7,655549,297305,11128,284063.0,0.45
2025-12-29,UAE,TikTok,366408,6,511049,241069,14737,214429.0,0.431
2025-12-29,UAE,youtube,243252,7,378991,187866,6077,186428.0,0.42
2025-12-29,UAE,X (Twitter),135340,11,225419,99377,1830,88133.0,0.442
2025-12-29,UAE,Facebook,190008,8,244472,118847,2437,100458.0,0.427
2026-01-05,UAE,IG,421385,7,480889,216557,8748,225013.0,0.459
2026-01-05,UAE,TikTok,367466,10,391184,214660,12566,159289.0,0.435
2026-01-05,UAE,youtube,245277,5,282733,140586,3441,139880.0,0.497
2026-01-05,UAE,Twitter,135844,10,96342,57479,987,39424.0,0.476
2026-01-05,UAE,Facebook,189776,7,207193,87511,1727,72280.0,0.463
