date,market,station,campaign,grps,spots,reach_pct_1plus,agency_reported_spend_usd
"Aug 04, 2025",Egypt,ON E,Always-On Brand,44.1,100,26.2,9384.02
"Aug 04, 2025",Egypt,CBC,Always-On Brand,37.9,65,23.0,8710.23
"Aug 04, 2025",Egypt,MBC Masr,Always-On Brand,86.1,174,44.8,20698.26
"Aug 04, 2025",KSA,MBC 1,Always-On Brand,46.7,87,27.5,30588.65
"Aug 04, 2025",KSA,SSC Sports,Always-On Brand,76.8,146,41.1,56922.04
"Aug 04, 2025",KSA,Rotana Khalijia,Always-On Brand,35.3,76,21.6,25451.19
"Aug 04, 2025",UAE,MBC 1,Always-On Brand,40.1,86,24.2,34503.01
"Aug 04, 2025",UAE,Dubai TV,Always-On Brand,29.5,68,18.4,24327.75
"Aug 04, 2025",UAE,MBC 4,Always-On Brand,34.7,72,21.3,31234.46
"Aug 11, 2025",Egypt,ON E,Always-On Brand,53.4,86,30.8,11181.99
"Aug 11, 2025",Egypt,CBC,Always-On Brand,58.8,97,33.3,13290.84
"Aug 11, 2025",Egypt,MBC Masr,Always-On Brand,70.2,112,38.4,14440.49
"Aug 11, 2025",KSA,MBC 1,Always-On Brand,54.4,124,31.3,41185.73
"Aug 11, 2025",KSA,SSC Sports,Always-On Brand,55.9,111,32.0,35976.74
"Aug 11, 2025",KSA,Rotana Khalijia,Always-On Brand,56.1,119,32.1,42661.01
"Aug 11, 2025",UAE,MBC 1,Always-On Brand,26.5,52,16.7,23373.22
"Aug 11, 2025",UAE,Dubai TV,Always-On Brand,46.0,103,27.2,35491.59
"Aug 11, 2025",UAE,MBC 4,Always-On Brand,29.3,66,18.3,26485.65
"Aug 18, 2025",Egypt,ON E,Always-On Brand,32.5,57,20.1,6861.23
"Aug 18, 2025",Egypt,CBC,Always-On Brand,86.2,141,44.8,19376.36
"Aug 18, 2025",Egypt,MBC Masr,Always-On Brand,74.0,153,40.0,13612.64
"Aug 18, 2025",KSA,MBC 1,Always-On Brand,49.1,90,28.7,34704.61
"Aug 18, 2025",KSA,SSC Sports,Always-On Brand,80.2,191,42.5,53885.21
"Aug 18, 2025",KSA,Rotana Khalijia,Always-On Brand,54.0,116,31.1,38486.55
"Aug 18, 2025",UAE,MBC 1,Always-On Brand,23.6,42,15.0,17878.46
"Aug 18, 2025",UAE,Dubai TV,Always-On Brand,60.8,127,34.2,51523.45
"Aug 18, 2025",UAE,MBC 4,Always-On Brand,27.2,47,17.1,21363.13
"Aug 25, 2025",Egypt,ON E,Always-On Brand,46.6,85,27.5,11142.16
"Aug 25, 2025",Egypt,CBC,Always-On Brand,41.2,72,24.7,8355.57
"Aug 25, 2025",Egypt,MBC Masr,Always-On Brand,87.3,191,45.2,17914.39
"Aug 25, 2025",KSA,MBC 1,Always-On Brand,73.6,123,39.8,56011.64
"Aug 25, 2025",KSA,SSC Sports,Always-On Brand,7.0,14,4.7,5037.95
"Aug 25, 2025",KSA,Rotana Khalijia,Always-On Brand,66.5,152,36.8,47840.65
"Aug 25, 2025",UAE,MBC 1,Always-On Brand,26.8,51,16.9,21105.64
"Aug 25, 2025",UAE,Dubai TV,Always-On Brand,72.9,123,39.5,56470.56
"Aug 25, 2025",UAE,MBC 4,Always-On Brand,21.0,46,13.5,15538.91
"Sep 01, 2025",Egypt,ON E,Always-On Brand,63.7,103,35.5,14064.15
"Sep 01, 2025",Egypt,CBC,Always-On Brand,31.3,55,19.4,7251.77
"Sep 01, 2025",Egypt,MBC Masr,Always-On Brand,80.3,144,42.5,17771.8
"Sep 01, 2025",KSA,MBC 1,Always-On Brand,43.0,96,25.7,30231.11
"Sep 01, 2025",KSA,SSC Sports,Always-On Brand,91.1,217,46.6,58928.8
"Sep 01, 2025",KSA,Rotana Khalijia,Always-On Brand,40.6,67,24.4,26863.17
