date,market,channel_group,sessions,users,bounce_rate,avg_session_sec,product_views,add_to_cart,transactions,revenue_usd
2025-08-04,UAE,Paid Search,106139,84581,50.8%,196,263372,6550,343,241738.3
2025-08-04,UAE,Paid Social,187733,144686,49.1%,65,414283,17111,1110,785200.44
2025-08-04,UAE,Video,41132,30648,63.0%,157,88261,2238,271,182673.43
2025-08-04,UAE,Display,11648,9656,52.5%,207,26264,858,53,36625.11
2025-08-04,UAE,Influencer,3975,3341,43.4%,206,8976,213,35,25466.58
2025-08-04,UAE,Organic Search,24785,18663,37.8%,125,48975,2318,226,145449.44
2025-08-04,UAE,Direct,19405,14172,32.9%,175,38929,1462,178,118258.06
2025-08-11,UAE,Paid Search,119499,98968,48.1%,163,226902,13047,788,535535.27
2025-08-11,UAE,Paid Social,236602,196914,48.5%,206,454426,12246,1356,925693.99
2025-08-11,UAE,Video,42280,32953,53.5%,140,77174,2337,230,160473.17
2025-08-11,UAE,Display,13196,10095,56.3%,178,20738,754,78,55880.37
2025-08-11,UAE,Influencer,1188,880,39.3%,208,2001,111,14,9959.2
2025-08-11,UAE,Organic Search,24923,18927,39.5%,93,50306,2935,228,154369.26
2025-08-11,UAE,Direct,20014,15971,36.0%,75,30459,2226,252,177297.42
2025-08-18,UAE,Paid Search,131675,102607,55.2%,148,231983,11801,653,437502.49
2025-08-18,UAE,Paid Social,212713,164911,50.1%,74,328110,17758,926,644209.47
2025-08-18,UAE,Video,39269,33535,59.5%,60,98357,2368,214,145804.34
2025-08-18,UAE,Display,10973,8552,57.0%,64,17773,611,39,27541.8
2025-08-18,UAE,Influencer,1736,1290,33.4%,168,3487,148,19,13966.54
2025-08-18,UAE,Organic Search,23003,17194,41.5%,94,55961,1837,206,146635.36
2025-08-18,UAE,Direct,19689,15990,37.3%,182,36399,1527,261,181644.18
2025-08-25,UAE,Paid Search,94135,69958,56.9%,96,176846,10885,463,317720.8
2025-08-25,UAE,Paid Social,218757,169379,60.9%,90,336178,11003,1583,1060027.77
2025-08-25,UAE,Video,45812,38934,59.1%,139,103310,2960,231,148195.06
