influencer,market,followers_median,followers_min,followers_max,followers_unstable
Influencer_2,SGE,"784,195","254,022","960,548",False
Influencer_5,SESAR,"747,386","208,890","950,755",False
Influencer_22,SEMAG,"743,597.50","216,212","973,266",True
Influencer_8,SELV,"728,834.50","323,434","903,956",False
Influencer_24,SETK,"723,434.50","270,369","910,034",False
Influencer_23,SEPAK,"723,273","227,939","966,150",True
Influencer_6,SETK,"707,061","200,097","933,087",True
Influencer_17,SEIL,"704,384.50","252,062","958,889",True
Influencer_11,SEMAG,"693,595","569,359","980,841",False
Influencer_3,SGE,"621,216","208,902","992,843",True
Influencer_15,SEEG,"600,099","253,097","986,185",True
Influencer_20,SEPAK,"589,684","284,891","995,248",True
Influencer_7,SETK,"572,605","203,150","976,487",True
Influencer_19,SEPAK,"571,754","262,796","929,884",True
Influencer_10,SELV,"555,446","207,104","970,214",True
Influencer_18,SEIL,"555,062.50","277,335","971,555",True
Influencer_13,SEEG,"545,620","250,075","997,475",True
Influencer_9,SELV,"519,643.50","306,142","891,515",True
Influencer_21,SESAR,"509,012","229,365","891,450",True
Influencer_14,SEEG,"489,627","208,363","980,422",True
Influencer_4,SESAR,"473,646","260,254","909,489",True
Influencer_12,SEMAG,"440,244","245,767","976,907",True
Influencer_1,SGE,"405,888","200,561","978,476",True
Influencer_16,SEIL,"378,980","222,143","921,354",True
