week,market,channel,product,impressions,clicks,spend_aed,conversions,sales_aed,engagement_rate,brand_awareness,purchase_intent,influencer,followers,tv_grp,pr_mentions,pr_share_of_voice,sessions,bounce_rate,avg_session_sec,pages_per_session,competitor_sov,sentiment,media_type,channel_role,revenue_attributed,cpm_aed,cpc_aed,ctr,cpa_aed,roas,aov_aed,cost_per_grp_aed
1,SGE,Paid Social,Galaxy Z Fold8,"1,200,660","10,540","30,204",628,"116,107",0.87,58.70,42.60,,,,,,,,,,14.60,0.71,paid,response,True,25.16,2.87,0.01,48.10,3.84,184.88,
1,SGE,Influencer,Galaxy Z Fold8,,,"11,399",7,"1,817",3.31,50.80,37.30,Influencer_1,"429,258",,,,,,,,9.90,0.87,paid,response,True,,,,"1,628.43",0.16,259.57,
1,SGE,TV,Galaxy Z Fold8,,,"43,734",,,,67.10,54,,,"1,132",,,,,,,13.50,0.75,paid,brand,False,,,,,,,38.63
1,SGE,Search,Galaxy Z Fold8,"684,928","8,919","32,269",799,"402,894",1.30,56.50,51.30,,,,,,,,,,13.20,0.87,paid,response,True,47.11,3.62,0.01,40.39,12.49,504.25,
1,SGE,Website,Galaxy Z Fold8,,,,"1,258","343,804",,53.80,27.10,,,,,,"143,195",37.60,242,3.37,9.80,0.80,earned,owned,True,,,,,,273.29,
1,SGE,PR,Galaxy Z Fold8,,,0,,,,73.20,50.70,,,,43,42.70,,,,,9.30,0.93,earned,brand,False,,,,,,,
1,SGE,Paid Social,Galaxy Z Flip8,"100,960","1,069","3,254",100,"32,545",1.28,38.60,45.20,,,,,,,,,,13.90,0.76,paid,response,True,32.23,3.04,0.01,32.54,10.00,325.45,
1,SGE,Influencer,Galaxy Z Flip8,,,"1,421",24,"6,381",3.44,41,44,Influencer_2,"597,887",,,,,,,,8.30,0.91,paid,response,True,,,,59.21,4.49,265.88,
1,SGE,PR,Galaxy Z Flip8,,,0,,,,53.20,64,,,,10,29,,,,,10.30,0.91,earned,brand,False,,,,,,,
1,SGE,Paid Social,Galaxy S24,"703,197","8,851","28,708",980,"304,498",0.90,40.70,48.50,,,,,,,,,,14,0.89,paid,response,True,40.82,3.24,0.01,29.29,10.61,310.71,
1,SGE,Influencer,Galaxy S24,,,"5,515",47,"11,350",3.90,46.10,43.70,Influencer_2,"811,878",,,,,,,,16.30,0.78,paid,response,True,,,,117.34,2.06,241.49,
1,SGE,TV,Galaxy S24,,,"46,556",,,,64,51.40,,,924,,,,,,,14,0.84,paid,brand,False,,,,,,,50.39
1,SGE,Search,Galaxy S24,"627,200","10,845","11,932","1,605","456,406",1.73,63.50,49.90,,,,,,,,,,13.50,0.83,paid,response,True,19.02,1.10,0.02,7.43,38.25,284.37,
1,SGE,Website,Galaxy S24,,,,"1,256","393,669",,55.20,38.70,,,,,,"101,738",44.10,217,3.96,8.60,0.86,earned,owned,True,,,,,,313.43,
1,SGE,PR,Galaxy S24,,,0,,,,56.50,50.50,,,,114,32.20,,,,,6.70,0.95,earned,brand,False,,,,,,,
1,SGE,Paid Social,Galaxy Tab S10,"169,674","1,987","2,073",174,"47,354",0.88,47.40,55.80,,,,,,,,,,17.20,0.76,paid,response,True,12.22,1.04,0.01,11.91,22.84,272.15,
1,SGE,Paid Social,Galaxy Buds3,"108,034","1,528","2,515",71,"19,276",0.85,59.30,49.20,,,,,,,,,,9,0.82,paid,response,True,23.28,1.65,0.01,35.42,7.66,271.49,
1,SGE,Paid Social,Galaxy Watch6,"906,492","8,299","33,683",911,"233,019",0.95,52.70,48.10,,,,,,,,,,9.90,0.78,paid,response,True,37.16,4.06,0.01,36.97,6.92,255.78,
1,SGE,Influencer,Galaxy Watch6,,,"8,323",31,"8,505",3.81,33.20,21.60,Influencer_3,"881,446",,,,,,,,13.20,0.87,paid,response,True,,,,268.48,1.02,274.35,
1,SGE,TV,Galaxy Watch6,,,"35,040",,,,64.70,38,,,501,,,,,,,10.20,0.73,paid,brand,False,,,,,,,69.94
