week,market,brand_awareness,brand_awareness_sd,purchase_intent,purchase_intent_sd,competitor_sov,sentiment,sentiment_sd,n_observations,is_indicative,intent_to_awareness
1,SEEG,53.63,10.08,41.14,8.81,13.14,0.84,0.06,23,True,0.77
1,SEIL,51.88,9.25,42.31,12.37,12.03,0.84,0.06,23,True,0.82
1,SELV,51.73,10.06,43.56,10.59,11.93,0.82,0.05,23,True,0.84
1,SEMAG,54.66,10.99,45.90,9.60,11.74,0.86,0.07,23,True,0.84
1,SEPAK,54.47,11.81,42.19,9.46,12.11,0.84,0.06,23,True,0.77
1,SESAR,56.04,9.43,42.77,12.29,12.56,0.82,0.06,23,True,0.76
1,SETK,56.36,10.02,42.13,11.68,12.00,0.84,0.07,23,True,0.75
1,SGE,54.17,10.38,46.01,9.82,11.83,0.83,0.07,23,True,0.85
2,SEEG,58.49,10.98,45.84,11.09,11.50,0.83,0.07,31,True,0.78
2,SEIL,55.63,9.32,48.16,9.51,11.30,0.86,0.07,31,True,0.87
2,SELV,57.05,11.02,46.38,9.50,11.39,0.86,0.06,31,True,0.81
2,SEMAG,57.60,11.65,43.30,11.14,10.75,0.86,0.07,31,True,0.75
2,SEPAK,56.25,9.70,45.13,8.38,11.57,0.85,0.05,31,True,0.80
2,SESAR,57.28,9.42,47.41,9.80,12.43,0.86,0.06,31,True,0.83
2,SETK,54.76,9.54,46.49,10.75,11.00,0.85,0.06,31,True,0.85
2,SGE,56.84,9.07,46.79,10.28,11.43,0.85,0.06,31,True,0.82
3,SEEG,58.05,10.84,47.23,10.06,11.35,0.86,0.06,38,True,0.81
3,SEIL,56.67,8.15,48.39,10.56,10.79,0.84,0.06,38,True,0.85
3,SELV,55.35,9.98,48.30,10.85,12.12,0.86,0.06,38,True,0.87
3,SEMAG,58.93,7.95,45.32,10.39,10.88,0.84,0.07,38,True,0.77
3,SEPAK,56.02,9.02,46.47,10.47,11.87,0.84,0.06,38,True,0.83
3,SESAR,57.41,10.62,46.17,9.02,11.92,0.85,0.06,38,True,0.80
3,SETK,55.98,9.35,49.65,9.01,11.51,0.83,0.07,38,True,0.89
3,SGE,57.99,10.49,47.27,10.63,11.73,0.85,0.06,38,True,0.82
4,SEEG,59.13,10.35,48.99,9.97,10.17,0.85,0.06,41,True,0.83
4,SEIL,60.61,10.95,49.50,10.60,11.48,0.84,0.06,41,True,0.82
4,SELV,60.30,10.44,48.83,9.93,10.57,0.86,0.06,41,True,0.81
4,SEMAG,58.43,8.73,46.21,12.06,10.57,0.87,0.06,41,True,0.79
4,SEPAK,59.40,9.73,49.79,11.40,10.57,0.86,0.06,41,True,0.84
4,SESAR,58.48,9.98,50.74,9.91,11.35,0.86,0.07,41,True,0.87
4,SETK,59.05,9.58,47.40,11.84,10.53,0.85,0.06,41,True,0.80
4,SGE,59.49,9.76,47.70,10.93,10.70,0.84,0.06,41,True,0.80
5,SEEG,61.00,10.04,49.17,8.63,10.22,0.83,0.06,36,True,0.81
5,SEIL,59.64,8.73,49.38,10.86,10.47,0.84,0.07,36,True,0.83
5,SELV,60.35,12.25,47.40,10.71,10.20,0.85,0.06,36,True,0.79
5,SEMAG,60.45,10.44,48.78,10.06,10.20,0.83,0.07,36,True,0.81
5,SEPAK,58.79,8.59,48.41,9.12,10.41,0.85,0.05,36,True,0.82
5,SESAR,59.53,10.40,50.78,9.40,9.55,0.83,0.06,36,True,0.85
5,SETK,60.94,11.41,48.66,11.54,9.99,0.85,0.05,36,True,0.80
5,SGE,57.16,10.88,50.24,9.34,10.35,0.84,0.07,36,True,0.88
6,SEEG,62.52,11.33,50.41,9.66,9.12,0.85,0.06,48,True,0.81
6,SEIL,62.16,9.23,51.73,9.09,9.72,0.86,0.05,48,True,0.83
6,SELV,62.02,10.50,51.15,10.78,9.74,0.86,0.05,48,True,0.82
6,SEMAG,62.35,9.66,51.19,10.27,9.71,0.84,0.05,48,True,0.82
6,SEPAK,62.38,9.38,50.76,11.16,9.88,0.85,0.06,48,True,0.81
6,SESAR,62.03,9.04,52.11,9.83,9.62,0.85,0.05,48,True,0.84
6,SETK,61.63,10.58,50.81,10.40,10.14,0.84,0.06,48,True,0.82
6,SGE,61.77,9.17,49.10,9.08,9.90,0.86,0.06,48,True,0.79
7,SEEG,63.11,10.10,49.94,9.10,9.32,0.84,0.06,36,True,0.79
7,SEIL,61.93,9.78,50.57,9.83,9.03,0.85,0.06,36,True,0.82
7,SELV,62.62,12.36,51.96,10.78,9.58,0.86,0.07,36,True,0.83
7,SEMAG,63.34,11.67,52.66,10.18,9.26,0.85,0.06,36,True,0.83
