week,market,channel,spend_aed,impressions,clicks,conversions,sales_aed,tv_grp,engagement_rate,sessions,pr_mentions,pr_share_of_voice,products_active,media_type,channel_role,revenue_attributed,cpm_aed,cpc_aed,ctr,cvr,cpa_aed,roas,aov_aed,cost_per_grp_aed
1,SEEG,Influencer,"23,465",,,63,"26,470",,3.85,,,,4,paid,response,True,,,,,372.46,1.13,420.16,
1,SEEG,PR,0,,,,,,,,191,33.95,4,earned,brand,False,,,,,,,,
1,SEEG,Paid Social,"89,434","2,418,114","28,623","2,735","664,449",,1.24,,,,6,paid,response,True,36.99,3.12,0.01,0.10,32.70,7.43,242.94,
1,SEEG,Search,"56,900","1,471,695","24,757","3,405","1,430,038",,1.72,,,,3,paid,response,True,38.66,2.30,0.02,0.14,16.71,25.13,419.98,
1,SEEG,TV,"159,177",,,,,"1,636",,,,,3,paid,brand,False,,,,,,,,97.30
1,SEEG,Website,,,,"3,340","1,155,936",,,"247,305",,,3,earned,owned,True,,,,,,,346.09,
1,SEIL,Influencer,"18,743",,,119,"41,288",,4.25,,,,4,paid,response,True,,,,,157.50,2.20,346.96,
1,SEIL,PR,0,,,,,,,,299,28.27,4,earned,brand,False,,,,,,,,
1,SEIL,Paid Social,"65,761","2,466,276","23,838","1,779","377,406",,1.21,,,,6,paid,response,True,26.66,2.76,0.01,0.07,36.97,5.74,212.15,
1,SEIL,Search,"84,036","1,624,681","26,987","2,770","976,841",,1.67,,,,3,paid,response,True,51.72,3.11,0.02,0.10,30.34,11.62,352.65,
1,SEIL,TV,"220,352",,,,,"2,137",,,,,3,paid,brand,False,,,,,,,,103.11
1,SEIL,Website,,,,"4,406","1,521,288",,,"323,811",,,3,earned,owned,True,,,,,,,345.28,
1,SELV,Influencer,"28,166",,,91,"31,303",,4.08,,,,4,paid,response,True,,,,,309.52,1.11,343.99,
1,SELV,PR,0,,,,,,,,237,29.93,4,earned,brand,False,,,,,,,,
1,SELV,Paid Social,"82,832","2,990,153","31,777","2,925","1,029,484",,1.03,,,,6,paid,response,True,27.70,2.61,0.01,0.09,28.32,12.43,351.96,
1,SELV,Search,"72,039","1,768,832","28,204","4,145","1,592,812",,1.57,,,,3,paid,response,True,40.73,2.55,0.02,0.15,17.38,22.11,384.27,
1,SELV,TV,"201,401",,,,,"2,521",,,,,3,paid,brand,False,,,,,,,,79.89
1,SELV,Website,,,,"3,450","1,278,757",,,"253,927",,,3,earned,owned,True,,,,,,,370.65,
1,SEMAG,Influencer,"21,634",,,133,"56,012",,4.28,,,,4,paid,response,True,,,,,162.66,2.59,421.14,
1,SEMAG,PR,0,,,,,,,,178,31.10,4,earned,brand,False,,,,,,,,
1,SEMAG,Paid Social,"86,696","2,121,782","21,721","1,993","430,156",,1.24,,,,6,paid,response,True,40.86,3.99,0.01,0.09,43.50,4.96,215.83,
1,SEMAG,Search,"42,362","1,422,817","28,024","3,975","1,544,792",,1.98,,,,3,paid,response,True,29.77,1.51,0.02,0.14,10.66,36.47,388.63,
1,SEMAG,TV,"130,153",,,,,"2,009",,,,,3,paid,brand,False,,,,,,,,64.78
1,SEMAG,Website,,,,"3,199","855,328",,,"222,168",,,3,earned,owned,True,,,,,,,267.37,
1,SEPAK,Influencer,"18,735",,,116,"42,351",,4.70,,,,4,paid,response,True,,,,,161.51,2.26,365.09,
1,SEPAK,PR,0,,,,,,,,221,38.27,4,earned,brand,False,,,,,,,,
1,SEPAK,Paid Social,"65,460","1,897,393","20,151","1,577","351,572",,1.05,,,,6,paid,response,True,34.50,3.25,0.01,0.08,41.51,5.37,222.94,
1,SEPAK,Search,"54,258","1,021,365","18,755","2,387","877,987",,1.81,,,,3,paid,response,True,53.12,2.89,0.02,0.13,22.73,16.18,367.82,
1,SEPAK,TV,"148,118",,,,,"1,370",,,,,3,paid,brand,False,,,,,,,,108.12
1,SEPAK,Website,,,,"3,937","1,118,378",,,"239,677",,,3,earned,owned,True,,,,,,,284.07,
1,SESAR,Influencer,"19,692",,,129,"46,178",,4.72,,,,4,paid,response,True,,,,,152.65,2.35,357.97,
1,SESAR,PR,0,,,,,,,,208,25.85,4,earned,brand,False,,,,,,,,
1,SESAR,Paid Social,"93,399","2,858,467","31,410","2,152","659,574",,1.17,,,,6,paid,response,True,32.67,2.97,0.01,0.07,43.40,7.06,306.49,
1,SESAR,Search,"74,868","1,314,294","18,355","2,045","721,912",,1.37,,,,3,paid,response,True,56.96,4.08,0.01,0.11,36.61,9.64,353.01,
1,SESAR,TV,"143,064",,,,,"1,687",,,,,3,paid,brand,False,,,,,,,,84.80
1,SESAR,Website,,,,"3,194","1,144,463",,,"270,891",,,3,earned,owned,True,,,,,,,358.32,
1,SETK,Influencer,"20,513",,,132,"44,968",,4.15,,,,4,paid,response,True,,,,,155.40,2.19,340.67,
1,SETK,PR,0,,,,,,,,263,36.12,4,earned,brand,False,,,,,,,,
1,SETK,Paid Social,"68,597","3,136,859","30,293","2,858","803,065",,1.21,,,,6,paid,response,True,21.87,2.26,0.01,0.09,24.00,11.71,280.99,
1,SETK,Search,"49,768","1,667,137","33,155","4,875","2,050,624",,1.97,,,,3,paid,response,True,29.85,1.50,0.02,0.15,10.21,41.20,420.64,
1,SETK,TV,"165,488",,,,,"2,243",,,,,3,paid,brand,False,,,,,,,,73.78
1,SETK,Website,,,,"4,148","1,364,308",,,"280,656",,,3,earned,owned,True,,,,,,,328.91,
1,SGE,Influencer,"26,658",,,109,"28,053",,3.62,,,,4,paid,response,True,,,,,244.57,1.05,257.37,
1,SGE,PR,0,,,,,,,,203,30.68,4,earned,brand,False,,,,,,,,
1,SGE,Paid Social,"100,437","3,189,017","32,274","2,864","752,799",,0.96,,,,6,paid,response,True,31.49,3.11,0.01,0.09,35.07,7.50,262.85,
1,SGE,Search,"64,668","1,856,351","26,680","3,149","1,154,040",,1.43,,,,3,paid,response,True,34.84,2.42,0.01,0.12,20.54,17.85,366.48,
1,SGE,TV,"125,330",,,,,"2,557",,,,,3,paid,brand,False,,,,,,,,49.01
1,SGE,Website,,,,"4,005","1,336,667",,,"339,060",,,3,earned,owned,True,,,,,,,333.75,
2,SEEG,B2B Roadshow,"11,363","44,186",,220,"95,074",,4.87,,,,3,paid,brand,True,257.16,,,,51.65,8.37,432.15,
2,SEEG,Influencer,"27,276",,,123,"43,612",,4.02,,,,5,paid,response,True,,,,,221.76,1.60,354.57,
2,SEEG,PR,0,,,,,,,,208,32.40,5,earned,brand,False,,,,,,,,
2,SEEG,Paid Social,"74,479","2,961,742","32,001","2,023","711,178",,1.14,,,,6,paid,response,True,25.15,2.33,0.01,0.06,36.82,9.55,351.55,
2,SEEG,Search,"69,029","1,768,226","32,010","4,125","1,483,785",,1.86,,,,4,paid,response,True,39.04,2.16,0.02,0.13,16.73,21.50,359.71,
2,SEEG,TV,"144,528",,,,,"1,851",,,,,4,paid,brand,False,,,,,,,,78.08
2,SEEG,Website,,,,"3,579","1,400,477",,,"283,098",,,4,earned,owned,True,,,,,,,391.30,
2,SEIL,B2B Roadshow,"17,795","55,464",,359,"132,568",,6.26,,,,3,paid,brand,True,320.84,,,,49.57,7.45,369.27,
2,SEIL,Influencer,"21,661",,,75,"28,794",,3.82,,,,5,paid,response,True,,,,,288.81,1.33,383.92,
2,SEIL,PR,0,,,,,,,,243,39.34,5,earned,brand,False,,,,,,,,
2,SEIL,Paid Social,"105,021","2,779,936","29,705","2,534","765,171",,1.14,,,,6,paid,response,True,37.78,3.54,0.01,0.09,41.44,7.29,301.96,
2,SEIL,Search,"64,135","2,294,417","38,250","4,628","2,111,205",,1.70,,,,4,paid,response,True,27.95,1.68,0.02,0.12,13.86,32.92,456.18,
2,SEIL,TV,"183,431",,,,,"2,684",,,,,4,paid,brand,False,,,,,,,,68.34
2,SEIL,Website,,,,"4,356","1,111,193",,,"309,603",,,4,earned,owned,True,,,,,,,255.09,
2,SELV,B2B Roadshow,"18,199","73,853",,220,"139,262",,4.79,,,,3,paid,brand,True,246.42,,,,82.72,7.65,633.01,
2,SELV,Influencer,"34,528",,,186,"72,904",,5.15,,,,5,paid,response,True,,,,,185.63,2.11,391.96,
2,SELV,PR,0,,,,,,,,212,37.46,5,earned,brand,False,,,,,,,,
2,SELV,Paid Social,"97,396","2,736,394","29,992","2,409","744,152",,1.22,,,,6,paid,response,True,35.59,3.25,0.01,0.08,40.43,7.64,308.90,
2,SELV,Search,"79,190","2,504,089","40,698","5,380","2,285,256",,1.68,,,,4,paid,response,True,31.62,1.95,0.02,0.13,14.72,28.86,424.77,
2,SELV,TV,"172,881",,,,,"2,242",,,,,4,paid,brand,False,,,,,,,,77.11
2,SELV,Website,,,,"3,383","1,042,972",,,"293,390",,,4,earned,owned,True,,,,,,,308.30,
2,SEMAG,B2B Roadshow,"15,847","36,969",,194,"63,755",,4.85,,,,3,paid,brand,True,428.66,,,,81.69,4.02,328.63,
2,SEMAG,Influencer,"18,230",,,156,"50,019",,3.91,,,,5,paid,response,True,,,,,116.86,2.74,320.63,
2,SEMAG,PR,0,,,,,,,,253,33.10,5,earned,brand,False,,,,,,,,
2,SEMAG,Paid Social,"77,670","1,998,645","20,655","1,841","543,640",,1.19,,,,6,paid,response,True,38.86,3.76,0.01,0.09,42.19,7.00,295.30,
2,SEMAG,Search,"67,983","1,748,792","27,506","3,748","1,681,123",,1.46,,,,4,paid,response,True,38.87,2.47,0.02,0.14,18.14,24.73,448.54,
2,SEMAG,TV,"167,322",,,,,"2,117",,,,,4,paid,brand,False,,,,,,,,79.04
2,SEMAG,Website,,,,"2,520","706,299",,,"231,678",,,4,earned,owned,True,,,,,,,280.28,
2,SEPAK,B2B Roadshow,"16,846","37,864",,206,"75,261",,4.83,,,,3,paid,brand,True,444.91,,,,81.78,4.47,365.34,
2,SEPAK,Influencer,"15,010",,,159,"59,562",,4.69,,,,5,paid,response,True,,,,,94.40,3.97,374.60,
2,SEPAK,PR,0,,,,,,,,127,31.90,5,earned,brand,False,,,,,,,,
2,SEPAK,Paid Social,"65,913","2,385,695","29,231","2,636","848,465",,1.19,,,,6,paid,response,True,27.63,2.25,0.01,0.09,25.00,12.87,321.88,
2,SEPAK,Search,"57,692","1,707,517","26,879","2,399","851,378",,1.65,,,,4,paid,response,True,33.79,2.15,0.02,0.09,24.05,14.76,354.89,
2,SEPAK,TV,"160,879",,,,,"2,273",,,,,4,paid,brand,False,,,,,,,,70.78
2,SEPAK,Website,,,,"3,486","1,083,296",,,"249,708",,,4,earned,owned,True,,,,,,,310.76,
2,SESAR,B2B Roadshow,"17,760","48,722",,187,"98,653",,6.09,,,,3,paid,brand,True,364.52,,,,94.97,5.55,527.56,
2,SESAR,Influencer,"18,919",,,198,"69,958",,4.18,,,,5,paid,response,True,,,,,95.55,3.70,353.32,
2,SESAR,PR,0,,,,,,,,225,32.78,5,earned,brand,False,,,,,,,,
2,SESAR,Paid Social,"72,581","3,186,429","32,492","2,892","711,222",,1.27,,,,6,paid,response,True,22.78,2.23,0.01,0.09,25.10,9.80,245.93,
