week,market,product,influencer,followers,engagement_rate,spend_aed,conversions,sales_aed,cpa_aed,roas
1,SGE,Galaxy Z Fold8,Influencer_1,"429,258",3.31,"11,399",7,"1,817","1,628.43",0.16
1,SGE,Galaxy Z Flip8,Influencer_2,"597,887",3.44,"1,421",24,"6,381",59.21,4.49
1,SGE,Galaxy S24,Influencer_2,"811,878",3.90,"5,515",47,"11,350",117.34,2.06
1,SGE,Galaxy Watch6,Influencer_3,"881,446",3.81,"8,323",31,"8,505",268.48,1.02
1,SESAR,Galaxy Z Fold8,Influencer_4,"766,847",5.43,"4,705",59,"26,821",79.75,5.70
1,SESAR,Galaxy Z Flip8,Influencer_4,"514,569",4.10,"1,373",30,"6,083",45.77,4.43
1,SESAR,Galaxy S24,Influencer_4,"308,618",5.79,"4,100",13,"6,069",315.38,1.48
1,SESAR,Galaxy Watch6,Influencer_5,"566,643",3.57,"9,514",27,"7,205",352.37,0.76
1,SETK,Galaxy Z Fold8,Influencer_6,"910,219",5.12,"5,253",51,"14,804",103,2.82
1,SETK,Galaxy Z Flip8,Influencer_7,"678,634",2.97,969,23,"11,416",42.13,11.78
1,SETK,Galaxy S24,Influencer_7,"484,913",3.68,"7,052",10,"2,452",705.20,0.35
1,SETK,Galaxy Watch6,Influencer_7,"696,564",4.84,"7,239",48,"16,296",150.81,2.25
1,SELV,Galaxy Z Fold8,Influencer_8,"821,254",3.44,"13,717",21,"10,088",653.19,0.74
1,SELV,Galaxy Z Flip8,Influencer_8,"707,719",3.47,"1,291",36,"12,866",35.86,9.97
1,SELV,Galaxy S24,Influencer_9,"464,742",5.79,"7,603",16,"3,513",475.19,0.46
1,SELV,Galaxy Watch6,Influencer_10,"970,214",3.63,"5,555",18,"4,836",308.61,0.87
1,SEMAG,Galaxy Z Fold8,Influencer_11,"708,257",2.92,"8,670",22,"5,979",394.09,0.69
1,SEMAG,Galaxy Z Flip8,Influencer_12,"245,767",3.61,876,10,"4,434",87.60,5.06
1,SEMAG,Galaxy S24,Influencer_12,"555,007",4.68,"5,317",29,"13,210",183.34,2.48
1,SEMAG,Galaxy Watch6,Influencer_11,"980,841",5.91,"6,771",72,"32,389",94.04,4.78
1,SEEG,Galaxy Z Fold8,Influencer_13,"583,542",2.82,"7,011",8,"2,887",876.38,0.41
1,SEEG,Galaxy Z Flip8,Influencer_13,"876,149",3.76,845,25,"12,261",33.80,14.51
1,SEEG,Galaxy S24,Influencer_14,"336,306",4.39,"8,586",9,"3,584",954,0.42
1,SEEG,Galaxy Watch6,Influencer_15,"336,435",4.45,"7,023",21,"7,738",334.43,1.10
1,SEIL,Galaxy Z Fold8,Influencer_16,"825,185",2.80,"4,501",15,"6,394",300.07,1.42
1,SEIL,Galaxy Z Flip8,Influencer_17,"380,222",5.30,"1,269",19,"7,730",66.79,6.09
1,SEIL,Galaxy S24,Influencer_18,"353,557",3.40,"4,641",13,"5,564",357,1.20
1,SEIL,Galaxy Watch6,Influencer_17,"958,889",5.48,"8,332",72,"21,600",115.72,2.59
1,SEPAK,Galaxy Z Fold8,Influencer_19,"445,369",4.37,"5,534",28,"12,188",197.64,2.20
1,SEPAK,Galaxy Z Flip8,Influencer_19,"929,884",5.41,"1,105",60,"20,074",18.42,18.17
1,SEPAK,Galaxy S24,Influencer_20,"453,690",5.01,"4,308",21,"8,073",205.14,1.87
1,SEPAK,Galaxy Watch6,Influencer_19,"282,760",4.01,"7,788",7,"2,016","1,112.57",0.26
2,SGE,Galaxy Z Fold8,Influencer_3,"323,481",3.42,"5,901",13,"3,436",453.92,0.58
2,SGE,Galaxy Z Flip8,Influencer_1,"330,192",4.31,"7,891",9,"2,671",876.78,0.34
2,SGE,Galaxy S24,Influencer_2,"953,258",3.62,"5,026",50,"11,961",100.52,2.38
2,SGE,Galaxy Tab S10,Influencer_1,"613,037",3.81,996,24,"7,432",41.50,7.46
2,SGE,Galaxy Watch6,Influencer_3,"859,827",2.59,"5,939",17,"6,743",349.35,1.14
2,SESAR,Galaxy Z Fold8,Influencer_4,"909,489",4.40,"6,232",52,"25,291",119.85,4.06
2,SESAR,Galaxy Z Flip8,Influencer_21,"512,886",4.49,"4,847",32,"9,616",151.47,1.98
