week,market,spend_aed,sales_aed,conversions,impressions,clicks,paid_spend_aed,paid_sales_aed,paid_conversions,earned_sales_aed,earned_conversions,tv_spend_aed,tv_grp,sessions,website_sales_aed,pr_mentions,share_of_voice,influencer_spend_aed,website_conversions,brand_awareness,brand_awareness_sd,purchase_intent,purchase_intent_sd,competitor_sov,sentiment,sentiment_sd,n_observations,is_indicative,intent_to_awareness,mer,paid_roas,cpa_aed,aov_aed,cpm_aed,cpc_aed,earned_sales_share,tv_spend_share,cost_per_grp_aed,sov_gap,web_conversion_rate,sales_aed_wow,spend_aed_wow,conversions_wow,brand_awareness_wow,purchase_intent_wow,sentiment_wow,share_of_voice_wow,mer_wow
1,SEEG,328976.0,3276893.0,9543.0,3889809.0,53380.0,328976.0,2120957.0,6203.0,1155936.0,3340.0,159177.0,1636.0,247305.0,1155936.0,191.0,33.95,23465.0,3340.0,53.630434782608695,10.082677980423504,41.13913043478261,8.809227555159252,13.143478260869566,0.8408695652173913,0.0612678948611054,23,True,0.7670855289825699,9.960887724332474,6.447148120227616,34.47301687100492,343.3818505710992,84.57381840599372,6.162907455976021,0.3527536602507314,0.483855965176791,97.29645476772616,20.80652173913044,0.013505590263035524,,,,,,,,
2,SEEG,326675.0,3734126.0,10070.0,4774154.0,64011.0,326675.0,2333649.0,6491.0,1400477.0,3579.0,144528.0,1851.0,283098.0,1400477.0,208.0,32.4,27276.0,3579.0,58.49032258064516,10.979355015625451,45.83548387096774,11.089771515142434,11.503225806451612,0.8325806451612903,0.0673779262536074,31,True,0.7836421795720273,11.430706359531644,7.143641233641999,32.440417080436944,370.81688182720956,68.42573574291906,5.103419724734811,0.3750481371008905,0.4424213668018673,78.08103727714749,20.89677419354839,0.012642265222643749,0.13953247786851763,-0.006994431204707996,0.055223724195745616,0.09061809432901402,0.11415781973394434,-0.009857557460719923,-0.04565537555228294,0.1475590003498075
3,SEEG,475554.0,4180720.0,12203.0,4865994.0,69858.0,475554.0,2840118.0,7937.0,1340602.0,4266.0,256975.0,2194.0,312277.0,1340602.0,234.0,33.583333333333336,27239.0,4266.0,58.05263157894737,10.838887367904096,47.23157894736842,10.056895046687389,11.352631578947367,0.8586842105263158,0.0629101054328802,38,True,0.813599274705349,8.791262401325612,5.972230282996253,38.97025321642219,342.5977218716709,97.730083514283,6.80743794554668,0.3206629480089554,0.5403697582188353,117.12625341841385,22.23070175438597,0.01366094845281593,0.1195979996390053,0.455740414785337,0.21181727904667325,-0.007483135369860783,0.030458827059202553,0.03135259691266157,0.03652263374485609,-0.23090821119773552
4,SEEG,431344.0,3855748.0,10665.0,5614093.0,67958.0,431344.0,2640005.0,7033.0,1215743.0,3632.0,235009.0,2136.0,301455.0,1215743.0,343.0,33.35,28072.0,3632.0,59.12682926829268,10.347415725441886,48.99024390243902,9.973860959479252,10.170731707317072,0.8526829268292683,0.05856724298803483,41,True,0.828561999834997,8.938916502837642,6.120416651211098,40.44481950304735,361.5328645100797,76.83235742621294,6.347214455987522,0.3153066538580841,0.5448296487258429,110.02294007490637,23.179268292682927,0.01204823273788791,-0.07773110851719323,-0.09296525736299133,-0.1260345816602475,0.018503858655993577,0.03723493887490692,-0.006988929834134461,-0.006947890818858604,0.016795551625186977
5,SEEG,351082.0,3373697.0,10161.0,4143598.0,55501.0,351082.0,2332078.0,6000.0,1041619.0,4161.0,165709.0,2327.0,340093.0,1041619.0,218.0,40.800000000000004,31043.0,4161.0,61.00277777777777,10.036774840871402,49.172222222222224,8.625298706582733,10.216666666666667,0.8319444444444444,0.05912792158626168,36,True,0.8060652975729704,9.609427427210736,6.642545046456384,34.55191418167503,332.0241118000197,84.7287791914177,6.325687825444587,0.3087470510837221,0.47199514643302704,71.21143102707349,30.583333333333336,0.01223488869221066,-0.125021396626543,-0.1860742238213584,-0.04725738396624468,0.03172753439851861,0.0037145828493037047,-0.024321446732774032,0.22338830584707647,0.07501031295686023
6,SEEG,381735.0,3596671.0,9742.0,3970876.0,52282.0,381735.0,2394563.0,6277.0,1202108.0,3465.0,164731.0,1948.0,255872.0,1202108.0,188.0,29.55,19566.0,3465.0,62.525,11.326442419062587,50.40625,9.662549028253581,9.120833333333334,0.8537499999999999,0.05884075154646814,48,True,0.8061775289884047,9.421905248405308,6.272841107050703,39.184459043317595,369.1922603161568,96.13369946581057,7.301461305994415,0.33422795690792956,0.4315323457372261,84.5641683778234,20.429166666666667,0.013541927213606803,0.06609188673434518,0.08731008710215837,-0.04123609880917234,0.02495332635125913,0.025096034346401508,0.026210350584307207,-0.2757352941176471,-0.019514396692817293
7,SEEG,300334.0,3342262.0,9324.0,3918365.0,54354.0,300334.0,2319959.0,6296.0,1022303.0,3028.0,141317.0,1691.0,252732.0,1022303.0,171.0,30.8,22280.0,3028.0,63.11388888888889,10.102620672105056,49.93611111111111,9.102406362457216,9.322222222222223,0.8419444444444444,0.06488757065414628,36,True,0.7912063729589367,11.128483621567987,7.724596615767778,32.21085371085371,358.45795795795794,76.64778549216318,5.5255179011664275,0.305871592352724,0.47053280680841997,83.57007687758723,21.477777777777778,0.011981070857667411,-0.070734576501437,-0.21323955099741965,-0.04290700061588992,0.009418454840286028,-0.009326995935799443,-0.013827883520416417,0.04230118443316422,0.18112879806889626
8,SEEG,297694.0,2789200.0,8232.0,3285282.0,39924.0,297694.0,1797067.0,5157.0,992133.0,3075.0,142014.0,1820.0,240147.0,992133.0,162.0,26.25,18969.0,3075.0,64.07142857142857,10.987871045135615,53.49047619047619,10.952955042268544,8.59047619047619,0.8466666666666667,0.06010830333723704,42,True,0.8348569305091044,9.36935242228597,6.036624856396165,36.16302235179786,338.824101068999,90.61444344808147,7.4565173830277525,0.35570522013480566,0.4770469005085759,78.02967032967032,17.65952380952381,0.012804657147497157,-0.1654753577068464,-0.008790213562234084,-0.11711711711711714,0.01517161593742733,0.07117825157542579,0.0056087099967008225,-0.1477272727272727,-0.15807465411304233
1,SEIL,388892.0,2916823.0,9074.0,4090957.0,50825.0,388892.0,1395535.0,4668.0,1521288.0,4406.0,220352.0,2137.0,323811.0,1521288.0,299.0,28.275,18743.0,4406.0,51.87826086956522,9.250452397867761,42.30869565217392,12.371444872016522,12.034782608695652,0.8352173913043479,0.05953376163744029,23,True,0.8155380489440162,7.500341997264022,3.5884898635096634,42.85783557416795,321.4484240687679,95.06137561455668,7.651588785046729,0.5215565017143653,0.5666148956522633,103.1127749181095,16.24021739130435,0.013606702675326038,,,,,,,,
2,SEIL,392043.0,4148931.0,11952.0,5129817.0,67955.0,392043.0,3037738.0,7596.0,1111193.0,4356.0,183431.0,2684.0,309603.0,1111193.0,243.0,39.339999999999996,21661.0,4356.0,55.62903225806452,9.315656840265822,48.15806451612904,9.507743307204867,11.303225806451612,0.86,0.06638272867747053,31,True,0.865700202957379,10.582846779562447,7.748481671653365,32.801455823293175,347.13278112449797,76.42436367613114,5.769156059156795,0.2678263388810274,0.4678849003808256,68.34239940387481,28.036774193548382,0.014069631108225695,0.4224143871602768,0.008102506608518523,0.3171699360811109,0.07229948201096548,0.13825453074809135,0.029672045809474135,0.39133510167992913,0.41098189701521104
