week,market,product,spend_aed,conversions,sales_aed,impressions,channels_active,roas,aov_aed,cpa_aed
1,SEEG,Galaxy Buds3,"2,570",107,"39,806","121,926",1,15.49,372.02,24.02
1,SEEG,Galaxy S24,"104,045","2,803","1,005,286","1,338,247",6,9.66,358.65,37.12
1,SEEG,Galaxy Tab S10,"4,262",99,"26,079","117,905",1,6.12,263.42,43.05
1,SEEG,Galaxy Watch6,"96,077","2,510","933,554","916,350",6,9.72,371.93,38.28
1,SEEG,Galaxy Z Flip8,"3,702",78,"25,120","102,135",3,6.79,322.05,47.46
1,SEEG,Galaxy Z Fold8,"118,320","3,946","1,247,048","1,293,246",6,10.54,316.03,29.98
1,SEIL,Galaxy Buds3,"2,780",51,"16,672","137,734",1,6.00,326.90,54.51
1,SEIL,Galaxy S24,"112,829","2,470","686,945","1,276,354",6,6.09,278.12,45.68
1,SEIL,Galaxy Tab S10,"2,861",138,"37,109","153,814",1,12.97,268.91,20.73
1,SEIL,Galaxy Watch6,"119,652","3,458","1,106,065","1,234,097",6,9.24,319.86,34.60
1,SEIL,Galaxy Z Flip8,"3,560",120,"37,417","114,770",3,10.51,311.81,29.67
1,SEIL,Galaxy Z Fold8,"147,210","2,837","1,032,615","1,174,188",6,7.01,363.98,51.89
1,SELV,Galaxy Buds3,"2,785",122,"43,512","92,428",1,15.62,356.66,22.83
1,SELV,Galaxy S24,"118,059","3,678","1,333,830","1,398,150",6,11.30,362.65,32.10
1,SELV,Galaxy Tab S10,"4,434",65,"13,543","143,656",1,3.05,208.35,68.22
1,SELV,Galaxy Watch6,"114,786","2,627","965,950","1,206,862",6,8.42,367.70,43.69
1,SELV,Galaxy Z Flip8,"4,629",106,"35,988","121,752",3,7.77,339.51,43.67
1,SELV,Galaxy Z Fold8,"139,745","4,013","1,539,533","1,796,137",6,11.02,383.64,34.82
1,SEMAG,Galaxy Buds3,"3,984",84,"32,802","126,935",1,8.23,390.50,47.43
1,SEMAG,Galaxy S24,"93,862","2,455","611,536","1,184,654",6,6.52,249.10,38.23
1,SEMAG,Galaxy Tab S10,"2,591",54,"17,102","73,316",1,6.60,316.70,47.98
1,SEMAG,Galaxy Watch6,"81,803","3,221","1,215,721","1,030,947",6,14.86,377.44,25.40
