influencer,market,followers,engagement_rate,spend_aed,conversions,sales_aed,weeks_active,products,followers_unstable,cpa_aed,roas,roi_gross_margin,aov_aed,cost_per_follower,er_vs_roster,cpa_vs_roster,flag,recommended_action,spend_at_median_cpa,excess_spend_aed
Influencer_24,SETK,"723,434.50",4.48,"19,964",200,"67,075",5,4,False,99.82,3.36,0.74,335.38,0.03,0.05,-0.39,Strong — scale candidate,Increase budget and brief across more products,"32,750.39",0
Influencer_20,SEPAK,"589,684",4.54,"63,004",509,"190,762",8,6,True,123.78,3.03,0.67,374.78,0.11,0.06,-0.24,Strong — scale candidate,Increase budget and brief across more products,"83,349.74",0
Influencer_11,SEMAG,"693,595",4.13,"45,104",354,"130,817",7,6,False,127.41,2.90,0.64,369.54,0.07,-0.03,-0.22,Strong — scale candidate,Increase budget and brief across more products,"57,968.19",0
Influencer_22,SEMAG,"743,597.50",4.14,"62,434",479,"158,608",6,6,True,130.34,2.54,0.56,331.12,0.08,-0.03,-0.20,On par,Maintain; review next cycle,"78,437.18",0
Influencer_23,SEPAK,"723,273",4.57,"29,501",212,"75,460",6,5,True,139.16,2.56,0.56,355.94,0.04,0.07,-0.15,On par,Maintain; review next cycle,"34,715.41",0
Influencer_2,SGE,"784,195",4.44,"79,631",571,"187,281",8,6,False,139.46,2.35,0.52,327.99,0.10,0.04,-0.15,On par,Maintain; review next cycle,"93,502.36",0
Influencer_8,SELV,"728,834.50",4.38,"93,483",639,"229,690",8,6,False,146.30,2.46,0.54,359.45,0.13,0.03,-0.11,On par,Maintain; review next cycle,"104,637.50",0
Influencer_17,SEIL,"704,384.50",4.47,"84,202",573,"190,298",8,6,True,146.95,2.26,0.50,332.11,0.12,0.05,-0.10,On par,Maintain; review next cycle,"93,829.87",0
Influencer_19,SEPAK,"571,754",4.08,"65,467",432,"151,371",7,6,True,151.54,2.31,0.51,350.40,0.11,-0.04,-0.07,On par,Maintain; review next cycle,"70,740.84",0
Influencer_7,SETK,"572,605",4.19,"75,104",486,"171,749",8,6,True,154.53,2.29,0.50,353.39,0.13,-0.02,-0.06,On par,Maintain; review next cycle,"79,583.45",0
Influencer_4,SESAR,"473,646",4.27,"82,971",525,"201,367",8,6,True,158.04,2.43,0.53,383.56,0.18,0.00,-0.03,On par,Maintain; review next cycle,"85,969.77",0
Influencer_12,SEMAG,"440,244",4.51,"64,188",404,"142,465",8,6,True,158.88,2.22,0.49,352.64,0.15,0.06,-0.03,On par,Maintain; review next cycle,"66,155.79",0
Influencer_5,SESAR,"747,386",3.91,"46,034",273,"89,695",7,6,False,168.62,1.95,0.43,328.55,0.06,-0.08,0.03,On par,Maintain; review next cycle,"44,704.28","1,329.72"
Influencer_6,SETK,"707,061",4.26,"98,294",580,"195,755",8,6,True,169.47,1.99,0.44,337.51,0.14,-0.00,0.03,On par,Maintain; review next cycle,"94,976.13","3,317.87"
Influencer_3,SGE,"621,216",4.02,"69,179",404,"149,383",7,5,True,171.24,2.16,0.48,369.76,0.11,-0.06,0.05,On par,Maintain; review next cycle,"66,155.79","3,023.21"
Influencer_15,SEEG,"600,099",3.75,"37,826",210,"71,682",6,6,True,180.12,1.90,0.42,341.34,0.06,-0.12,0.10,On par,Maintain; review next cycle,"34,387.91","3,438.09"
Influencer_18,SEIL,"555,062.50",4.50,"54,317",295,"107,013",7,5,True,184.13,1.97,0.43,362.76,0.10,0.06,0.12,On par,Maintain; review next cycle,"48,306.83","6,010.17"
Influencer_13,SEEG,"545,620",4.15,"71,212",380,"128,161",8,6,True,187.40,1.80,0.40,337.27,0.13,-0.03,0.14,On par,Maintain; review next cycle,"62,225.74","8,986.26"
Influencer_21,SESAR,"509,012",4.10,"59,025",309,"111,245",7,5,True,191.02,1.88,0.41,360.02,0.12,-0.04,0.17,On par,Maintain; review next cycle,"50,599.35","8,425.65"
Influencer_10,SELV,"555,446",4.59,"67,593",353,"113,056",7,5,True,191.48,1.67,0.37,320.27,0.12,0.08,0.17,On par,Maintain; review next cycle,"57,804.44","9,788.56"
Influencer_14,SEEG,"489,627",4.38,"88,872",432,"145,958",8,6,True,205.72,1.64,0.36,337.87,0.18,0.03,0.26,On par,Maintain; review next cycle,"70,740.84","18,131.16"
Influencer_9,SELV,"519,643.50",4.58,"63,287",280,"88,317",7,6,True,226.03,1.40,0.31,315.42,0.12,0.07,0.38,On par,Maintain; review next cycle,"45,850.55","17,436.45"
Influencer_16,SEIL,"378,980",3.81,"60,563",232,"77,695",6,5,True,261.05,1.28,0.28,334.89,0.16,-0.11,0.59,Costly — CPA well above roster,Renegotiate rate; retest at lower fee before renewing,"37,990.45","22,572.55"
Influencer_1,SGE,"405,888",3.68,"74,077",202,"68,110",7,6,True,366.72,0.92,0.20,337.18,0.18,-0.14,1.24,Costly — CPA well above roster,Renegotiate rate; retest at lower fee before renewing,"33,077.89","40,999.11"
