metric_a,metric_b,correlation,n_observations,note
spend_aed,spend_aed,1,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
spend_aed,sales_aed,0.83,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
spend_aed,conversions,0.84,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
spend_aed,aov_aed,0.18,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
spend_aed,cpa_aed,0.03,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
spend_aed,brand_awareness,-0.20,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
spend_aed,purchase_intent,-0.08,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
spend_aed,sentiment,0.19,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
spend_aed,share_of_voice,0.10,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
spend_aed,sessions,0.81,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
sales_aed,spend_aed,0.83,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
sales_aed,sales_aed,1,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
sales_aed,conversions,0.97,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
sales_aed,aov_aed,0.34,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
sales_aed,cpa_aed,-0.45,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
sales_aed,brand_awareness,-0.20,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
sales_aed,purchase_intent,-0.04,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
sales_aed,sentiment,0.14,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
sales_aed,share_of_voice,0.17,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
sales_aed,sessions,0.84,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
conversions,spend_aed,0.84,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
conversions,sales_aed,0.97,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
conversions,conversions,1,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
conversions,aov_aed,0.10,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
conversions,cpa_aed,-0.50,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
conversions,brand_awareness,-0.22,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
conversions,purchase_intent,-0.06,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
conversions,sentiment,0.15,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
conversions,share_of_voice,0.17,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
conversions,sessions,0.88,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
aov_aed,spend_aed,0.18,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
aov_aed,sales_aed,0.34,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
aov_aed,conversions,0.10,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
aov_aed,aov_aed,1,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
aov_aed,cpa_aed,0.13,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
aov_aed,brand_awareness,0.08,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
aov_aed,purchase_intent,0.08,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
aov_aed,sentiment,0.03,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
aov_aed,share_of_voice,0.04,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
aov_aed,sessions,0.02,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
cpa_aed,spend_aed,0.03,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
cpa_aed,sales_aed,-0.45,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
cpa_aed,conversions,-0.50,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
cpa_aed,aov_aed,0.13,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
cpa_aed,cpa_aed,1,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
cpa_aed,brand_awareness,0.09,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
cpa_aed,purchase_intent,-0.04,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
cpa_aed,sentiment,0.04,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
cpa_aed,share_of_voice,-0.13,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
cpa_aed,sessions,-0.34,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
brand_awareness,spend_aed,-0.20,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
brand_awareness,sales_aed,-0.20,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
brand_awareness,conversions,-0.22,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
brand_awareness,aov_aed,0.08,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
brand_awareness,cpa_aed,0.09,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
brand_awareness,brand_awareness,1,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
brand_awareness,purchase_intent,0.82,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
brand_awareness,sentiment,0.26,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
brand_awareness,share_of_voice,-0.34,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
brand_awareness,sessions,-0.22,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
purchase_intent,spend_aed,-0.08,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
purchase_intent,sales_aed,-0.04,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
purchase_intent,conversions,-0.06,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
purchase_intent,aov_aed,0.08,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
purchase_intent,cpa_aed,-0.04,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
purchase_intent,brand_awareness,0.82,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
purchase_intent,purchase_intent,1,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
purchase_intent,sentiment,0.27,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
purchase_intent,share_of_voice,-0.17,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
purchase_intent,sessions,-0.11,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
sentiment,spend_aed,0.19,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
sentiment,sales_aed,0.14,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
sentiment,conversions,0.15,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
sentiment,aov_aed,0.03,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
sentiment,cpa_aed,0.04,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
sentiment,brand_awareness,0.26,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
sentiment,purchase_intent,0.27,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
sentiment,sentiment,1,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
sentiment,share_of_voice,-0.11,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
sentiment,sessions,0.01,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
share_of_voice,spend_aed,0.10,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
share_of_voice,sales_aed,0.17,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
share_of_voice,conversions,0.17,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
share_of_voice,aov_aed,0.04,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
share_of_voice,cpa_aed,-0.13,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
share_of_voice,brand_awareness,-0.34,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
share_of_voice,purchase_intent,-0.17,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
share_of_voice,sentiment,-0.11,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
share_of_voice,share_of_voice,1,64,Pooled across markets; mixes between-market size differences with within-market movement. Screening only.
