Week,Market,Channel,Product,Impressions,Clicks,Spend_AED,Conversions,Sales_AED,Engagement_Rate,Brand_Awareness_Score,Purchase_Intent_Score,Influencer_Name,Follower_Count,Influencer_Engagement_Rate,TV_GRP,PR_Mentions,PR_Share_of_Voice,Website_Sessions,Bounce_Rate,Avg_Session_Duration_Sec,Page_Views_Per_Session,Competitor_SOV,Sentiment_Score
1,SGE,Paid Social,Galaxy Z Fold8,1200660,10540,30204,628,116107,0.87,58.7,42.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14.6,0.71
1,SGE,Influencer,Galaxy Z Fold8,N/A,N/A,11399,7,1817,3.31,50.8,37.3,Influencer_1,429258,3.31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.9,0.87
1,SGE,TV,Galaxy Z Fold8,N/A,N/A,43734,N/A,N/A,N/A,67.1,54.0,N/A,N/A,N/A,1132,N/A,N/A,N/A,N/A,N/A,N/A,13.5,0.75
1,SGE,Search,Galaxy Z Fold8,684928,8919,32269,799,402894,1.3,56.5,51.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13.2,0.87
1,SGE,Website,Galaxy Z Fold8,N/A,N/A,N/A,1258,343804,N/A,53.8,27.1,N/A,N/A,N/A,N/A,N/A,N/A,143195,37.6,242,3.37,9.8,0.8
1,SGE,PR,Galaxy Z Fold8,N/A,N/A,0,N/A,N/A,N/A,73.2,50.7,N/A,N/A,N/A,N/A,43,42.7,N/A,N/A,N/A,N/A,9.3,0.93
1,SGE,Paid Social,Galaxy Z Flip8,100960,1069,3254,100,32545,1.28,38.6,45.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13.9,0.76
1,SGE,Influencer,Galaxy Z Flip8,N/A,N/A,1421,24,6381,3.44,41.0,44.0,Influencer_2,597887,3.44,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.3,0.91
1,SGE,PR,Galaxy Z Flip8,N/A,N/A,0,N/A,N/A,N/A,53.2,64.0,N/A,N/A,N/A,N/A,10,29.0,N/A,N/A,N/A,N/A,10.3,0.91
1,SGE,Paid Social,Galaxy S24,703197,8851,28708,980,304498,0.9,40.7,48.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14.0,0.89
1,SGE,Influencer,Galaxy S24,N/A,N/A,5515,47,11350,3.9,46.1,43.7,Influencer_2,811878,3.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16.3,0.78
1,SGE,TV,Galaxy S24,N/A,N/A,46556,N/A,N/A,N/A,64.0,51.4,N/A,N/A,N/A,924,N/A,N/A,N/A,N/A,N/A,N/A,14.0,0.84
1,SGE,Search,Galaxy S24,627200,10845,11932,1605,456406,1.73,63.5,49.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13.5,0.83
1,SGE,Website,Galaxy S24,N/A,N/A,N/A,1256,393669,N/A,55.2,38.7,N/A,N/A,N/A,N/A,N/A,N/A,101738,44.1,217,3.96,8.6,0.86
1,SGE,PR,Galaxy S24,N/A,N/A,0,N/A,N/A,N/A,56.5,50.5,N/A,N/A,N/A,N/A,114,32.2,N/A,N/A,N/A,N/A,6.7,0.95
1,SGE,Paid Social,Galaxy Tab S10,169674,1987,2073,174,47354,0.88,47.4,55.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17.2,0.76
1,SGE,Paid Social,Galaxy Buds3,108034,1528,2515,71,19276,0.85,59.3,49.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.0,0.82
1,SGE,Paid Social,Galaxy Watch6,906492,8299,33683,911,233019,0.95,52.7,48.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.9,0.78
1,SGE,Influencer,Galaxy Watch6,N/A,N/A,8323,31,8505,3.81,33.2,21.6,Influencer_3,881446,3.81,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13.2,0.87
1,SGE,TV,Galaxy Watch6,N/A,N/A,35040,N/A,N/A,N/A,64.7,38.0,N/A,N/A,N/A,501,N/A,N/A,N/A,N/A,N/A,N/A,10.2,0.73
1,SGE,Search,Galaxy Watch6,544223,6916,20467,745,294740,1.27,54.9,49.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14.5,0.87
1,SGE,Website,Galaxy Watch6,N/A,N/A,N/A,1491,599194,N/A,45.1,36.3,N/A,N/A,N/A,N/A,N/A,N/A,94127,28.8,174,3.49,16.1,0.76
1,SGE,PR,Galaxy Watch6,N/A,N/A,0,N/A,N/A,N/A,69.7,61.2,N/A,N/A,N/A,N/A,36,18.8,N/A,N/A,N/A,N/A,6.2,0.83
1,SESAR,Paid Social,Galaxy Z Fold8,976460,10878,32280,594,157800,1.41,38.8,50.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17.8,0.72
1,SESAR,Influencer,Galaxy Z Fold8,N/A,N/A,4705,59,26821,5.43,36.3,35.6,Influencer_4,766847,5.43,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.8,0.83
1,SESAR,TV,Galaxy Z Fold8,N/A,N/A,42302,N/A,N/A,N/A,56.5,61.1,N/A,N/A,N/A,605,N/A,N/A,N/A,N/A,N/A,N/A,12.6,0.88
1,SESAR,Search,Galaxy Z Fold8,673192,9998,32432,954,323417,1.49,65.6,45.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11.5,0.9
1,SESAR,Website,Galaxy Z Fold8,N/A,N/A,N/A,610,194710,N/A,48.9,47.3,N/A,N/A,N/A,N/A,N/A,N/A,71865,43.4,190,2.59,8.2,0.76
1,SESAR,PR,Galaxy Z Fold8,N/A,N/A,0,N/A,N/A,N/A,75.0,55.4,N/A,N/A,N/A,N/A,62,29.1,N/A,N/A,N/A,N/A,10.4,0.81
1,SESAR,Paid Social,Galaxy Z Flip8,81447,890,4668,75,17181,0.98,56.6,35.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10.7,0.73
1,SESAR,Influencer,Galaxy Z Flip8,N/A,N/A,1373,30,6083,4.1,49.9,37.9,Influencer_4,514569,4.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.7,0.86
1,SESAR,PR,Galaxy Z Flip8,N/A,N/A,0,N/A,N/A,N/A,74.8,63.2,N/A,N/A,N/A,N/A,12,25.0,N/A,N/A,N/A,N/A,13.1,0.86
1,SESAR,Paid Social,Galaxy S24,582704,6448,29800,620,187810,1.49,56.1,26.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17.3,0.77
1,SESAR,Influencer,Galaxy S24,N/A,N/A,4100,13,6069,5.79,53.6,25.7,Influencer_4,308618,5.79,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10.5,0.79
1,SESAR,TV,Galaxy S24,N/A,N/A,52470,N/A,N/A,N/A,64.2,57.8,N/A,N/A,N/A,504,N/A,N/A,N/A,N/A,N/A,N/A,15.5,0.77
1,SESAR,Search,Galaxy S24,326632,4221,23878,687,180836,1.29,49.7,34.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15.4,0.81
1,SESAR,Website,Galaxy S24,N/A,N/A,N/A,1458,447491,N/A,53.5,29.7,N/A,N/A,N/A,N/A,N/A,N/A,107912,25.2,169,3.92,7.9,0.82
1,SESAR,PR,Galaxy S24,N/A,N/A,0,N/A,N/A,N/A,54.7,48.9,N/A,N/A,N/A,N/A,90,21.4,N/A,N/A,N/A,N/A,13.3,0.93
1,SESAR,Paid Social,Galaxy Tab S10,142688,1181,3558,67,14229,0.87,59.9,52.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12.4,0.86
1,SESAR,Paid Social,Galaxy Buds3,87154,1262,2963,137,53985,1.37,62.9,26.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16.3,0.78
1,SESAR,Paid Social,Galaxy Watch6,988014,10751,20130,659,228569,0.88,62.7,52.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10.2,0.9
1,SESAR,Influencer,Galaxy Watch6,N/A,N/A,9514,27,7205,3.57,51.1,33.0,Influencer_5,566643,3.57,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10.5,0.76
1,SESAR,TV,Galaxy Watch6,N/A,N/A,48292,N/A,N/A,N/A,63.0,46.5,N/A,N/A,N/A,578,N/A,N/A,N/A,N/A,N/A,N/A,21.2,0.83
1,SESAR,Search,Galaxy Watch6,314470,4136,18558,404,217659,1.32,48.0,33.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10.5,0.9
1,SESAR,Website,Galaxy Watch6,N/A,N/A,N/A,1126,502262,N/A,53.9,26.0,N/A,N/A,N/A,N/A,N/A,N/A,91114,27.3,198,2.88,16.8,0.85
1,SESAR,PR,Galaxy Watch6,N/A,N/A,0,N/A,N/A,N/A,53.2,57.8,N/A,N/A,N/A,N/A,44,27.9,N/A,N/A,N/A,N/A,8.2,0.85
1,SETK,Paid Social,Galaxy Z Fold8,1121717,9952,25935,801,253695,1.03,57.4,42.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.8,0.87
1,SETK,Influencer,Galaxy Z Fold8,N/A,N/A,5253,51,14804,5.12,47.7,21.0,Influencer_6,910219,5.12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10.6,0.84
