week,market,spend_aed,sales_aed,conversions,impressions,clicks,paid_spend_aed,paid_sales_aed,paid_conversions,earned_sales_aed,earned_conversions,tv_spend_aed,tv_grp,sessions,website_sales_aed,pr_mentions,share_of_voice,influencer_spend_aed,website_conversions,brand_awareness,brand_awareness_sd,purchase_intent,purchase_intent_sd,competitor_sov,sentiment,sentiment_sd,n_observations,is_indicative,intent_to_awareness,mer,paid_roas,cpa_aed,aov_aed,cpm_aed,cpc_aed,earned_sales_share,tv_spend_share,cost_per_grp_aed,sov_gap,web_conversion_rate,sales_aed_wow,spend_aed_wow,conversions_wow,brand_awareness_wow,purchase_intent_wow,sentiment_wow,share_of_voice_wow,mer_wow
1,SEEG,"328,976","3,276,893","9,543","3,889,809","53,380","328,976","2,120,957","6,203","1,155,936","3,340","159,177","1,636","247,305","1,155,936",191,33.95,"23,465","3,340",53.63,10.08,41.14,8.81,13.14,0.84,0.06,23,True,0.77,9.96,6.45,34.47,343.38,84.57,6.16,0.35,0.48,97.30,20.81,0.01,,,,,,,,
2,SEEG,"326,675","3,734,126","10,070","4,774,154","64,011","326,675","2,333,649","6,491","1,400,477","3,579","144,528","1,851","283,098","1,400,477",208,32.40,"27,276","3,579",58.49,10.98,45.84,11.09,11.50,0.83,0.07,31,True,0.78,11.43,7.14,32.44,370.82,68.43,5.10,0.38,0.44,78.08,20.90,0.01,0.14,-0.01,0.06,0.09,0.11,-0.01,-0.05,0.15
3,SEEG,"475,554","4,180,720","12,203","4,865,994","69,858","475,554","2,840,118","7,937","1,340,602","4,266","256,975","2,194","312,277","1,340,602",234,33.58,"27,239","4,266",58.05,10.84,47.23,10.06,11.35,0.86,0.06,38,True,0.81,8.79,5.97,38.97,342.60,97.73,6.81,0.32,0.54,117.13,22.23,0.01,0.12,0.46,0.21,-0.01,0.03,0.03,0.04,-0.23
4,SEEG,"431,344","3,855,748","10,665","5,614,093","67,958","431,344","2,640,005","7,033","1,215,743","3,632","235,009","2,136","301,455","1,215,743",343,33.35,"28,072","3,632",59.13,10.35,48.99,9.97,10.17,0.85,0.06,41,True,0.83,8.94,6.12,40.44,361.53,76.83,6.35,0.32,0.54,110.02,23.18,0.01,-0.08,-0.09,-0.13,0.02,0.04,-0.01,-0.01,0.02
5,SEEG,"351,082","3,373,697","10,161","4,143,598","55,501","351,082","2,332,078","6,000","1,041,619","4,161","165,709","2,327","340,093","1,041,619",218,40.80,"31,043","4,161",61.00,10.04,49.17,8.63,10.22,0.83,0.06,36,True,0.81,9.61,6.64,34.55,332.02,84.73,6.33,0.31,0.47,71.21,30.58,0.01,-0.13,-0.19,-0.05,0.03,0.00,-0.02,0.22,0.08
6,SEEG,"381,735","3,596,671","9,742","3,970,876","52,282","381,735","2,394,563","6,277","1,202,108","3,465","164,731","1,948","255,872","1,202,108",188,29.55,"19,566","3,465",62.52,11.33,50.41,9.66,9.12,0.85,0.06,48,True,0.81,9.42,6.27,39.18,369.19,96.13,7.30,0.33,0.43,84.56,20.43,0.01,0.07,0.09,-0.04,0.02,0.03,0.03,-0.28,-0.02
7,SEEG,"300,334","3,342,262","9,324","3,918,365","54,354","300,334","2,319,959","6,296","1,022,303","3,028","141,317","1,691","252,732","1,022,303",171,30.80,"22,280","3,028",63.11,10.10,49.94,9.10,9.32,0.84,0.06,36,True,0.79,11.13,7.72,32.21,358.46,76.65,5.53,0.31,0.47,83.57,21.48,0.01,-0.07,-0.21,-0.04,0.01,-0.01,-0.01,0.04,0.18
8,SEEG,"297,694","2,789,200","8,232","3,285,282","39,924","297,694","1,797,067","5,157","992,133","3,075","142,014","1,820","240,147","992,133",162,26.25,"18,969","3,075",64.07,10.99,53.49,10.95,8.59,0.85,0.06,42,True,0.83,9.37,6.04,36.16,338.82,90.61,7.46,0.36,0.48,78.03,17.66,0.01,-0.17,-0.01,-0.12,0.02,0.07,0.01,-0.15,-0.16
1,SEIL,"388,892","2,916,823","9,074","4,090,957","50,825","388,892","1,395,535","4,668","1,521,288","4,406","220,352","2,137","323,811","1,521,288",299,28.27,"18,743","4,406",51.88,9.25,42.31,12.37,12.03,0.84,0.06,23,True,0.82,7.50,3.59,42.86,321.45,95.06,7.65,0.52,0.57,103.11,16.24,0.01,,,,,,,,
2,SEIL,"392,043","4,148,931","11,952","5,129,817","67,955","392,043","3,037,738","7,596","1,111,193","4,356","183,431","2,684","309,603","1,111,193",243,39.34,"21,661","4,356",55.63,9.32,48.16,9.51,11.30,0.86,0.07,31,True,0.87,10.58,7.75,32.80,347.13,76.42,5.77,0.27,0.47,68.34,28.04,0.01,0.42,0.01,0.32,0.07,0.14,0.03,0.39,0.41
